攻角：-1.00
升力系数：0.4327 阻力系数： 0.0076
0.0000 
压力系数 坐标
1.00873 0.00000
0.91800 0.00050
0.81607 0.00125
0.68226 0.00250
0.45781 0.00500
0.34902 0.00750
0.15525 0.01000
0.03122 0.01500
-0.14730 0.02500
-0.29353 0.05000
-0.54916 0.10000
-0.64756 0.12500
-0.73102 0.15000
-0.81690 0.17500
-0.83497 0.20000
-0.93447 0.22500
-1.01925 0.27500
-1.05638 0.32500
-1.07082 0.35000
-1.04700 0.37500
-1.05174 0.40000
-1.01995 0.42500
-0.97787 0.45000
-0.93881 0.47500
-0.89491 0.50000
-0.85404 0.52500
-0.69418 0.55000
-0.65493 0.57500
-0.61123 0.60000
-0.54624 0.62500
-0.51818 0.65000
-0.46490 0.67500
-0.41353 0.70000
-0.32421 0.75000
-0.23964 0.80000
-0.19968 0.82500
-0.16749 0.85000
-0.12449 0.87500
-0.09745 0.90000
-0.05375 0.92500
-0.01096 0.95000
0.10812 0.99000
压力系数 坐标
1.01045 0.00000
0.91538 0.00050
0.79327 0.00125
0.64774 0.00250
0.52058 0.00500
0.33217 0.00750
0.19754 0.01000
-0.01066 0.01500
-0.12157 0.02500
-0.22925 0.05000
-0.33602 0.07500
-0.45268 0.12500
-0.48982 0.15000
-0.52181 0.17500
-0.53958 0.20000
-0.57964 0.22500
-0.59609 0.25000
-0.58348 0.27500
-0.55270 0.30000
-0.53756 0.32500
-0.55714 0.35000
-0.51636 0.37500
-0.47781 0.40000
-0.44834 0.42500
-0.42059 0.45000
-0.33017 0.47500
-0.26921 0.50000
-0.19484 0.52500
-0.14448 0.55000
-0.09048 0.57500
-0.03296 0.60000
0.02739 0.62500
0.06927 0.65000
0.11872 0.67500
0.17574 0.70000
0.22025 0.72500
0.25426 0.75000
0.32662 0.82500
0.34831 0.85000
0.34710 0.87500
0.34670 0.90000
0.33620 0.92500
0.29765 0.95000
0.27061 0.97500
0.18281 0.99000
压力系数 坐标
1.01650 0.06250
1.01600 0.08750
1.01468 0.11250
1.01721 0.13750
1.01660 0.16250
1.01125 0.18750
1.01761 0.21250
1.01741 0.23750
1.01569 0.26250
1.01731 0.28750
1.01307 0.31250
1.01610 0.33750
1.01711 0.36250
1.01912 0.38750
1.01791 0.41250
1.01478 0.43750
1.01751 0.45250
1.01680 0.46750
1.01458 0.48250
1.01872 0.49750
1.01388 0.51250
1.01620 0.52750
1.00177 0.54250
1.02013 0.55750
1.01549 0.57250
1.01852 0.58750
1.01650 0.60250
1.01811 0.61750
1.01630 0.63250
1.01327 0.64750
1.01620 0.66250
1.01448 0.67750
1.01630 0.69250
1.00590 0.70750
1.01388 0.72250
1.01418 0.73750
1.00035 0.74750
1.01045 0.75750
1.01297 0.76750
1.00550 0.77750
1.01095 0.78750
1.01145 0.79750
1.01670 0.80750
1.01509 0.81750
1.00994 0.82750
1.01095 0.83750
1.01751 0.84750
1.01418 0.85750
1.01095 0.86750
1.01448 0.87750
1.01640 0.88750
1.01065 0.89750
1.01297 0.90750
1.01398 0.91750
1.00893 0.92750
1.01297 0.93750
1.01024 0.94750
1.02276 0.95750
1.01610 0.96750
1.00722 0.97750
0.98340 0.98750
0.92668 0.99750
0.87420 1.00750
0.83646 1.01750
0.84968 1.02750
0.91124 1.03750
0.97028 1.04750
0.99753 1.05750
1.00954 1.06750
1.00984 1.07750
1.01418 1.08750
1.01176 1.09750
1.00742 1.10750
1.00661 1.11750
1.00994 1.12750
1.00822 1.13750
1.01367 1.15250
1.01045 1.16750
1.00974 1.18250
1.00812 1.19750
1.00792 1.21250
1.01105 1.22750
1.01105 1.24250
1.01267 1.25750
1.01337 1.27250
1.00923 1.28750
1.00853 1.30250
1.01226 1.31750
1.01024 1.33250
1.01115 1.34750
1.01307 1.36250
1.00469 1.37750
1.00994 1.39250
1.01075 1.40750
1.00913 1.42250
1.01085 1.43750
1.01105 1.46250
1.01721 1.48750
1.01690 1.51250
1.01156 1.53750
1.00964 1.56250
1.01075 1.58750
1.01640 1.61250
0.99299 1.63750
1.01549 1.66250
1.01751 1.68750
1.00570 1.71250
1.01024 1.73750
1.00641 1.76250
1.01196 1.78750
1.01589 1.81250
压力系数 坐标
0.00105 0.62500
-0.02923 0.93750
-0.04124 1.25000
0.01185 1.56250
