攻角：-9.00
升力系数：-0.5814 阻力系数： 0.0160
0.0000 
压力系数 坐标
-0.49116 0.00000
0.09468 0.00050
0.42558 0.00125
0.68718 0.00250
0.88666 0.00500
0.95585 0.00750
1.00835 0.01000
0.96393 0.01500
0.93794 0.02500
0.82249 0.05000
0.49384 0.10000
0.33745 0.12500
0.20614 0.15000
0.08506 0.17500
-0.00490 0.20000
-0.10940 0.22500
-0.26251 0.27500
-0.37489 0.32500
-0.42116 0.35000
-0.43774 0.37500
-0.47970 0.40000
-0.48308 0.42500
-0.47479 0.45000
-0.47315 0.47500
-0.45657 0.50000
-0.42290 0.52500
-0.39096 0.55000
-0.36650 0.57500
-0.34593 0.60000
-0.31676 0.62500
-0.26978 0.65000
-0.23120 0.67500
-0.20561 0.70000
-0.16160 0.75000
-0.11472 0.80000
-0.09006 0.82500
-0.07470 0.85000
-0.04922 0.87500
-0.04072 0.90000
-0.01452 0.92500
0.00779 0.95000
0.08823 0.99000
压力系数 坐标
-0.87804 0.00000
-1.59059 0.00050
-1.88075 0.00125
-2.14246 0.00250
-2.33140 0.00500
-2.47571 0.00750
-2.53527 0.01000
-2.34235 0.01500
-2.20366 0.02500
-2.01002 0.05000
-1.83664 0.07500
-1.55119 0.12500
-1.48313 0.15000
-1.43850 0.17500
-1.29255 0.20000
-1.35796 0.22500
-1.31302 0.25000
-1.24169 0.27500
-1.14896 0.30000
-1.07568 0.32500
-1.06565 0.35000
-0.95757 0.37500
-0.86422 0.40000
-0.78654 0.42500
-0.70016 0.45000
-0.60211 0.47500
-0.49904 0.50000
-0.39086 0.52500
-0.30335 0.55000
-0.22321 0.57500
-0.15372 0.60000
-0.10551 0.62500
-0.07573 0.65000
-0.04758 0.67500
-0.02998 0.70000
-0.01514 0.72500
-0.00275 0.75000
0.03450 0.82500
0.05211 0.85000
0.06930 0.87500
0.09489 0.90000
0.11863 0.92500
0.14023 0.95000
0.16182 0.97500
0.16234 0.99000
压力系数 坐标
1.01152 0.06250
1.00999 0.08750
1.01081 0.11250
1.01255 0.13750
1.01326 0.16250
1.00743 0.18750
1.01521 0.21250
1.01531 0.23750
1.01142 0.26250
1.01367 0.28750
1.00897 0.31250
1.01449 0.33750
1.01388 0.36250
1.01582 0.38750
1.01572 0.41250
1.01245 0.43750
1.01429 0.45250
1.01316 0.46750
1.01081 0.48250
1.01531 0.49750
1.01214 0.51250
1.01173 0.52750
1.00027 0.54250
1.01644 0.55750
1.01040 0.57250
1.01572 0.58750
1.01511 0.60250
1.01316 0.61750
1.01470 0.63250
1.00948 0.64750
1.01204 0.66250
1.01019 0.67750
1.01326 0.69250
1.00272 0.70750
1.00968 0.72250
1.01050 0.73750
0.99658 0.74750
1.00794 0.75750
1.01214 0.76750
1.00057 0.77750
1.00774 0.78750
1.00743 0.79750
1.01449 0.80750
1.01163 0.81750
1.00569 0.82750
1.00784 0.83750
1.01388 0.84750
1.01071 0.85750
1.00692 0.86750
1.01173 0.87750
1.01163 0.88750
1.00825 0.89750
1.01030 0.90750
1.01152 0.91750
1.00497 0.92750
1.00927 0.93750
1.01019 0.94750
1.02002 0.95750
1.01347 0.96750
1.00538 0.97750
1.00958 0.98750
1.00518 0.99750
1.00978 1.00750
1.01071 1.01750
1.00354 1.02750
1.00129 1.03750
1.00395 1.04750
0.99341 1.05750
0.98665 1.06750
0.97621 1.07750
0.97120 1.08750
0.93753 1.09750
0.90457 1.10750
0.87642 1.11750
0.85626 1.12750
0.83722 1.13750
0.83630 1.15250
0.85012 1.16750
0.87346 1.18250
0.91839 1.19750
0.96045 1.21250
0.99034 1.22750
1.00416 1.24250
1.00702 1.25750
1.00907 1.27250
1.00579 1.28750
1.00784 1.30250
1.00948 1.31750
1.00733 1.33250
1.00784 1.34750
1.00651 1.36250
1.00057 1.37750
1.00784 1.39250
1.00620 1.40750
1.00733 1.42250
1.00876 1.43750
1.00682 1.46250
1.01500 1.48750
1.01316 1.51250
1.00835 1.53750
1.00569 1.56250
1.00835 1.58750
1.01173 1.61250
0.98778 1.63750
1.01101 1.66250
1.01367 1.68750
1.00119 1.71250
1.00753 1.73750
1.00426 1.76250
1.00958 1.78750
1.01101 1.81250
压力系数 坐标
-0.03704 0.62500
-0.05342 0.93750
-0.04369 1.25000
0.02130 1.56250
