攻角：1.00
升力系数：0.6868 阻力系数： 0.0081
0.0000 
压力系数 坐标
0.84452 0.00000
0.60163 0.00050
0.44271 0.00125
0.24568 0.00250
-0.04577 0.00500
-0.16887 0.00750
-0.36942 0.01000
-0.48058 0.01500
-0.62314 0.02500
-0.72527 0.05000
-0.89161 0.10000
-0.95341 0.12500
-1.01160 0.15000
-1.08072 0.17500
-1.09085 0.20000
-1.16379 0.22500
-1.22198 0.27500
-1.23261 0.32500
-1.23602 0.35000
-1.20232 0.37500
-1.19309 0.40000
-1.15316 0.42500
-1.10430 0.45000
-1.06126 0.47500
-1.01862 0.50000
-0.87415 0.52500
-0.77413 0.55000
-0.73891 0.57500
-0.68263 0.60000
-0.60608 0.62500
-0.57167 0.65000
-0.51258 0.67500
-0.45499 0.70000
-0.35517 0.75000
-0.26297 0.80000
-0.21943 0.82500
-0.18241 0.85000
-0.13556 0.87500
-0.10526 0.90000
-0.05751 0.92500
-0.01176 0.95000
0.11024 0.99000
压力系数 坐标
0.96541 0.00000
1.01748 0.00050
0.98989 0.00125
0.91906 0.00250
0.84211 0.00500
0.70647 0.00750
0.58758 0.01000
0.37329 0.01500
0.24307 0.02500
0.10622 0.05000
-0.03724 0.07500
-0.20699 0.12500
-0.26197 0.15000
-0.30922 0.17500
-0.33882 0.20000
-0.39129 0.22500
-0.41918 0.25000
-0.41918 0.27500
-0.39992 0.30000
-0.39520 0.32500
-0.42500 0.35000
-0.39149 0.37500
-0.35938 0.40000
-0.33440 0.42500
-0.30691 0.45000
-0.27933 0.47500
-0.21221 0.50000
-0.10245 0.52500
-0.07296 0.55000
-0.02781 0.57500
0.02135 0.60000
0.07633 0.62500
0.11385 0.65000
0.15819 0.67500
0.21126 0.70000
0.25440 0.72500
0.28681 0.75000
0.35423 0.82500
0.37419 0.85000
0.36958 0.87500
0.36737 0.90000
0.35443 0.92500
0.31008 0.95000
0.27949 0.97500
0.17645 0.99000
压力系数 坐标
1.01427 0.06250
1.01487 0.08750
1.01487 0.11250
1.01547 0.13750
1.01577 0.16250
1.01086 0.18750
1.01778 0.21250
1.01758 0.23750
1.01567 0.26250
1.01597 0.28750
1.01126 0.31250
1.01687 0.33750
1.01657 0.36250
1.01878 0.38750
1.01808 0.41250
1.01627 0.43750
1.01748 0.45250
1.01627 0.46750
1.01407 0.48250
1.01908 0.49750
1.01437 0.51250
1.01567 0.52750
1.00132 0.54250
1.01828 0.55750
1.01166 0.57250
1.01687 0.58750
1.01637 0.60250
1.01617 0.61750
1.01597 0.63250
1.01196 0.64750
1.01376 0.66250
1.01346 0.67750
1.01537 0.69250
1.00514 0.70750
1.01276 0.72250
1.01216 0.73750
0.99962 0.74750
1.01045 0.75750
1.01166 0.76750
1.00464 0.77750
1.00975 0.78750
1.01136 0.79750
1.01697 0.80750
1.01557 0.81750
1.00805 0.82750
1.01015 0.83750
1.01577 0.84750
1.01397 0.85750
1.00955 0.86750
1.01457 0.87750
1.01386 0.88750
1.01106 0.89750
1.01216 0.90750
1.01326 0.91750
1.00815 0.92750
1.00704 0.93750
0.98517 0.94750
0.94143 0.95750
0.87742 0.96750
0.83478 0.97750
0.84662 0.98750
0.89177 0.99750
0.95588 1.00750
0.99751 1.01750
1.00243 1.02750
1.00474 1.03750
1.01116 1.04750
1.00744 1.05750
1.01005 1.06750
1.00985 1.07750
1.01447 1.08750
1.01025 1.09750
1.00604 1.10750
1.00895 1.11750
1.00855 1.12750
1.00875 1.13750
1.01236 1.15250
1.00965 1.16750
1.01015 1.18250
1.00805 1.19750
1.00684 1.21250
1.01045 1.22750
1.01065 1.24250
1.01136 1.25750
1.01186 1.27250
1.00945 1.28750
1.00995 1.30250
1.01136 1.31750
1.00955 1.33250
1.01086 1.34750
1.01146 1.36250
1.00443 1.37750
1.01156 1.39250
1.00965 1.40750
1.00775 1.42250
1.01246 1.43750
1.00965 1.46250
1.01637 1.48750
1.01788 1.51250
1.01156 1.53750
1.00975 1.56250
1.01045 1.58750
1.01667 1.61250
0.99119 1.63750
1.01397 1.66250
1.01627 1.68750
1.00714 1.71250
1.01015 1.73750
1.00644 1.76250
1.01397 1.78750
1.01567 1.81250
压力系数 坐标
0.00851 0.62500
-0.02771 0.93750
-0.04376 1.25000
0.00921 1.56250
