 
 
 
攻角：-10.00
升力系数：-0.6683 阻力系数： 0.0441
 
0.0000 
 
 
压力系数 坐标
-0.87217 0.00000
-0.20011 0.00050
0.19564 0.00125
0.52201 0.00250
0.78523 0.00500
0.88670 0.00750
0.98847 0.01000
0.97090 0.01500
0.98173 0.02500
0.88997 0.05000
0.58056 0.10000
0.42749 0.12500
0.29516 0.15000
0.17377 0.17500
0.07373 0.20000
-0.02416 0.22500
-0.18244 0.27500
-0.30066 0.32500
-0.35043 0.35000
-0.37127 0.37500
-0.41633 0.40000
-0.42308 0.42500
-0.41919 0.45000
-0.42226 0.47500
-0.41010 0.50000
-0.37996 0.52500
-0.34951 0.55000
-0.32958 0.57500
-0.31017 0.60000
-0.28503 0.62500
-0.26490 0.65000
-0.22259 0.67500
-0.18366 0.70000
-0.14953 0.75000
-0.10856 0.80000
-0.09098 0.82500
-0.08025 0.85000
-0.05972 0.87500
-0.05808 0.90000
-0.04183 0.92500
-0.03233 0.95000
0.00803 0.99000
 
 
压力系数 坐标
-1.30358 0.00000
-2.06832 0.00050
-2.35412 0.00125
-2.60774 0.00250
-2.59344 0.00500
-2.47061 0.00750
-2.63247 0.01000
-2.54807 0.01500
-2.47797 0.02500
-2.25153 0.05000
-1.93528 0.07500
-1.66552 0.12500
-1.57437 0.15000
-1.51132 0.17500
-1.35662 0.20000
-1.39964 0.22500
-1.34027 0.25000
-1.25372 0.27500
-1.14490 0.30000
-1.05620 0.32500
-1.02136 0.35000
-0.89404 0.37500
-0.77612 0.40000
-0.66535 0.42500
-0.54038 0.45000
-0.40530 0.47500
-0.28533 0.50000
-0.20931 0.52500
-0.18530 0.55000
-0.17355 0.57500
-0.16701 0.60000
-0.16997 0.62500
-0.17375 0.65000
-0.16261 0.67500
-0.15893 0.70000
-0.15240 0.72500
-0.14667 0.75000
-0.12246 0.82500
-0.10662 0.85000
-0.09415 0.87500
-0.06891 0.90000
-0.04531 0.92500
-0.01884 0.95000
0.01018 0.97500
0.03317 0.99000
 
 
压力系数 坐标
1.01371 0.06250
1.01269 0.08750
1.01167 0.11250
1.01279 0.13750
1.01402 0.16250
1.00799 0.18750
1.01627 0.21250
1.01433 0.23750
1.01249 0.26250
1.01382 0.28750
1.00748 0.31250
1.01433 0.33750
1.01341 0.36250
1.01688 0.38750
1.01719 0.41250
1.01279 0.43750
1.01627 0.45250
1.01402 0.46750
1.01228 0.48250
1.01831 0.49750
1.01249 0.51250
1.01198 0.52750
0.99900 0.54250
1.01698 0.55750
1.01136 0.57250
1.01576 0.58750
1.01443 0.60250
1.01463 0.61750
1.01535 0.63250
1.01208 0.64750
1.01320 0.66250
1.01157 0.67750
1.01218 0.69250
1.00319 0.70750
1.01055 0.72250
1.01146 0.73750
0.99747 0.74750
1.00973 0.75750
1.01044 0.76750
1.00186 0.77750
1.00789 0.78750
1.00758 0.79750
1.01361 0.80750
1.01044 0.81750
1.00554 0.82750
1.00707 0.83750
1.01095 0.84750
1.00728 0.85750
1.00462 0.86750
1.00584 0.87750
1.00401 0.88750
0.99471 0.89750
0.99328 0.90750
0.98990 0.91750
0.97304 0.92750
0.96988 0.93750
0.95915 0.94750
0.95547 0.95750
0.93370 0.96750
0.91133 0.97750
0.89661 0.98750
0.87893 0.99750
0.87280 1.00750
0.84470 1.01750
0.80598 1.02750
0.78656 1.03750
0.78339 1.04750
0.77512 1.05750
0.77747 1.06750
0.77348 1.07750
0.78084 1.08750
0.78268 1.09750
0.78820 1.10750
0.79361 1.11750
0.80301 1.12750
0.81681 1.13750
0.83142 1.15250
0.86381 1.16750
0.89610 1.18250
0.92359 1.19750
0.94750 1.21250
0.96272 1.22750
0.97907 1.24250
0.99481 1.25750
1.00217 1.27250
1.00329 1.28750
1.01014 1.30250
1.00973 1.31750
1.00779 1.33250
1.00942 1.34750
1.00871 1.36250
1.00482 1.37750
1.00809 1.39250
1.00789 1.40750
1.00881 1.42250
1.00932 1.43750
1.00779 1.46250
1.01443 1.48750
1.01525 1.51250
1.00963 1.53750
1.00840 1.56250
1.00932 1.58750
1.01218 1.61250
0.98715 1.63750
1.01157 1.66250
1.01453 1.68750
1.00421 1.71250
1.00922 1.73750
1.00513 1.76250
1.01085 1.78750
1.01146 1.81250
 
 
压力系数 坐标
-0.03918 0.62500
-0.06953 0.93750
-0.04715 1.25000
0.02550 1.56250
