 
 
 
攻角：-4.00
升力系数：0.0517 阻力系数： 0.0071
 
0.0000 
 
 
压力系数 坐标
0.86164 0.00000
0.99607 0.00050
1.01669 0.00125
0.99860 0.00250
0.91400 0.00500
0.85123 0.00750
0.71135 0.01000
0.58976 0.01500
0.41743 0.02500
0.24480 0.05000
-0.09136 0.10000
-0.22700 0.12500
-0.33929 0.15000
-0.44582 0.17500
-0.48372 0.20000
-0.60288 0.22500
-0.71952 0.27500
-0.79006 0.32500
-0.81847 0.35000
-0.81210 0.37500
-0.83231 0.40000
-0.81422 0.42500
-0.78471 0.45000
-0.76055 0.47500
-0.72164 0.50000
-0.67959 0.52500
-0.64846 0.55000
-0.54001 0.57500
-0.49261 0.60000
-0.44187 0.62500
-0.42560 0.65000
-0.38153 0.67500
-0.33908 0.70000
-0.26480 0.75000
-0.19364 0.80000
-0.15938 0.82500
-0.13300 0.85000
-0.09560 0.87500
-0.07468 0.90000
-0.03739 0.92500
-0.00009 0.95000
0.11270 0.99000
 
 
压力系数 坐标
0.70983 0.00000
0.36781 0.00050
0.14202 0.00125
-0.08155 0.00250
-0.25893 0.00500
-0.49201 0.00750
-0.61309 0.01000
-0.74014 0.01500
-0.78905 0.02500
-0.81574 0.05000
-0.84030 0.07500
-0.85152 0.12500
-0.85414 0.15000
-0.85657 0.17500
-0.85606 0.20000
-0.87082 0.22500
-0.87092 0.25000
-0.83727 0.27500
-0.78885 0.30000
-0.75742 0.32500
-0.76096 0.35000
-0.71588 0.37500
-0.65544 0.40000
-0.57034 0.42500
-0.52202 0.45000
-0.46340 0.47500
-0.39467 0.50000
-0.30351 0.52500
-0.23882 0.55000
-0.17464 0.57500
-0.10723 0.60000
-0.03910 0.62500
0.01032 0.65000
0.06591 0.67500
0.12372 0.70000
0.17224 0.72500
0.20892 0.75000
0.28978 0.82500
0.31050 0.85000
0.31475 0.87500
0.31849 0.90000
0.31171 0.92500
0.28331 0.95000
0.26199 0.97500
0.19296 0.99000
 
 
压力系数 坐标
1.01810 0.06250
1.01881 0.08750
1.01618 0.11250
1.01972 0.13750
1.01962 0.16250
1.01406 0.18750
1.02113 0.21250
1.01952 0.23750
1.01770 0.26250
1.02124 0.28750
1.01527 0.31250
1.01992 0.33750
1.02134 0.36250
1.02305 0.38750
1.02174 0.41250
1.01841 0.43750
1.02134 0.45250
1.01962 0.46750
1.01739 0.48250
1.02043 0.49750
1.01770 0.51250
1.01800 0.52750
1.00456 0.54250
1.02356 0.55750
1.01659 0.57250
1.02194 0.58750
1.01911 0.60250
1.01952 0.61750
1.02012 0.63250
1.01497 0.64750
1.01931 0.66250
1.01659 0.67750
1.01851 0.69250
1.00870 0.70750
1.01537 0.72250
1.01608 0.73750
1.00193 0.74750
1.01355 0.75750
1.01477 0.76750
1.00799 0.77750
1.01436 0.78750
1.01335 0.79750
1.02043 0.80750
1.01800 0.81750
1.01153 0.82750
1.01376 0.83750
1.01982 0.84750
1.01739 0.85750
1.01285 0.86750
1.01820 0.87750
1.01851 0.88750
1.01456 0.89750
1.01770 0.90750
1.01628 0.91750
1.01184 0.92750
1.01426 0.93750
1.01568 0.94750
1.02538 0.95750
1.01851 0.96750
1.01184 0.97750
1.01598 0.98750
1.00911 0.99750
1.01628 1.00750
1.01628 1.01750
1.00698 1.02750
0.99425 1.03750
0.97302 1.04750
0.91632 1.05750
0.85922 1.06750
0.84709 1.07750
0.87731 1.08750
0.94098 1.09750
0.98162 1.10750
1.00365 1.11750
1.01173 1.12750
1.01052 1.13750
1.01507 1.15250
1.01275 1.16750
1.01254 1.18250
1.01143 1.19750
1.01022 1.21250
1.01345 1.22750
1.01416 1.24250
1.01467 1.25750
1.01568 1.27250
1.01275 1.28750
1.01396 1.30250
1.01396 1.31750
1.01416 1.33250
1.01416 1.34750
1.01365 1.36250
1.00941 1.37750
1.01315 1.39250
1.01285 1.40750
1.01204 1.42250
1.01456 1.43750
1.01386 1.46250
1.02012 1.48750
1.02012 1.51250
1.01507 1.53750
1.01365 1.56250
1.01467 1.58750
1.02002 1.61250
0.99344 1.63750
1.01739 1.66250
1.02022 1.68750
1.00880 1.71250
1.01335 1.73750
1.01072 1.76250
1.01365 1.78750
1.01841 1.81250
 
 
压力系数 坐标
-0.01010 0.62500
-0.03718 0.93750
-0.04173 1.25000
0.01901 1.56250
