 
 
 
攻角：6.00
升力系数：1.2878 阻力系数： 0.0104
 
0.0000 
 
 
压力系数 坐标
-0.47133 0.00000
-1.03642 0.00050
-1.27133 0.00125
-1.54431 0.00250
-1.90573 0.00500
-2.01507 0.00750
-2.13041 0.01000
-2.16051 0.01500
-2.09420 0.02500
-2.01383 0.05000
-1.84502 0.10000
-1.78512 0.12500
-1.75864 0.15000
-1.76981 0.17500
-1.77168 0.20000
-1.75171 0.22500
-1.73475 0.27500
-1.67951 0.32500
-1.65210 0.35000
-1.55249 0.37500
-1.51121 0.40000
-1.42670 0.42500
-1.34612 0.45000
-1.27568 0.47500
-1.19955 0.50000
-1.08752 0.52500
-0.98077 0.55000
-0.91126 0.57500
-0.82933 0.60000
-0.73655 0.62500
-0.67955 0.65000
-0.60590 0.67500
-0.53556 0.70000
-0.40854 0.75000
-0.29724 0.80000
-0.24272 0.82500
-0.19711 0.85000
-0.14239 0.87500
-0.10018 0.90000
-0.04743 0.92500
-0.00005 0.95000
0.09315 0.99000
 
 
压力系数 坐标
-0.06025 0.00000
0.44691 0.00050
0.71989 0.00125
0.88219 0.00250
0.96784 0.00500
1.01811 0.00750
1.01356 0.01000
0.93567 0.01500
0.83492 0.02500
0.69941 0.05000
0.52987 0.07500
0.29434 0.12500
0.21086 0.15000
0.13835 0.17500
0.08901 0.20000
0.01360 0.22500
-0.02995 0.25000
-0.05819 0.27500
-0.06408 0.30000
-0.07929 0.32500
-0.12739 0.35000
-0.11259 0.37500
-0.09801 0.40000
-0.09015 0.42500
-0.07391 0.45000
-0.05043 0.47500
-0.02053 0.50000
0.00502 0.52500
0.05829 0.55000
0.12449 0.57500
0.15128 0.60000
0.18914 0.62500
0.21490 0.65000
0.24821 0.67500
0.29341 0.70000
0.32920 0.72500
0.35382 0.75000
0.40523 0.82500
0.42043 0.85000
0.41164 0.87500
0.40275 0.90000
0.38340 0.92500
0.32930 0.95000
0.28079 0.97500
0.11901 0.99000
 
 
压力系数 坐标
1.01946 0.06250
1.02153 0.08750
1.01977 0.11250
1.02142 0.13750
1.02246 0.16250
1.01604 0.18750
1.02422 0.21250
1.02266 0.23750
1.02111 0.26250
1.02287 0.28750
1.01822 0.31250
1.02111 0.33750
1.02142 0.36250
1.02391 0.38750
1.02422 0.41250
1.02111 0.43750
1.02256 0.45250
1.01915 0.46750
1.01873 0.48250
1.02463 0.49750
1.01935 0.51250
1.01956 0.52750
1.00642 0.54250
1.02370 0.55750
1.01760 0.57250
1.02266 0.58750
1.02049 0.60250
1.02122 0.61750
1.02266 0.63250
1.01573 0.64750
1.01946 0.66250
1.01822 0.67750
1.02091 0.69250
1.00932 0.70750
1.01780 0.72250
1.01780 0.73750
1.00435 0.74750
1.01460 0.75750
1.01770 0.76750
1.01046 0.77750
1.01646 0.78750
1.01739 0.79750
1.02215 0.80750
1.02008 0.81750
1.01170 0.82750
1.00911 0.83750
0.99453 0.84750
0.96184 0.85750
0.90950 0.86750
0.87464 0.87750
0.84630 0.88750
0.84806 0.89750
0.88023 0.90750
0.92295 0.91750
0.96236 0.92750
0.99380 0.93750
1.00839 0.94750
1.02566 0.95750
1.01997 0.96750
1.01584 0.97750
1.01832 0.98750
1.01160 0.99750
1.01935 1.00750
1.02101 1.01750
1.01046 1.02750
1.01129 1.03750
1.01760 1.04750
1.01356 1.05750
1.01563 1.06750
1.01573 1.07750
1.01956 1.08750
1.01646 1.09750
1.01346 1.10750
1.01273 1.11750
1.01449 1.12750
1.01429 1.13750
1.01801 1.15250
1.01542 1.16750
1.01553 1.18250
1.01397 1.19750
1.01335 1.21250
1.01594 1.22750
1.01687 1.24250
1.01646 1.25750
1.01904 1.27250
1.01470 1.28750
1.01625 1.30250
1.01749 1.31750
1.01646 1.33250
1.01677 1.34750
1.01822 1.36250
1.01004 1.37750
1.01480 1.39250
1.01718 1.40750
1.01511 1.42250
1.01739 1.43750
1.01656 1.46250
1.02266 1.48750
1.02308 1.51250
1.01615 1.53750
1.01770 1.56250
1.01573 1.58750
1.02215 1.61250
0.99660 1.63750
1.01977 1.66250
1.02215 1.68750
1.01129 1.71250
1.01522 1.73750
1.01222 1.76250
1.01853 1.78750
1.02142 1.81250
 
 
压力系数 坐标
0.01940 0.62500
-0.02219 0.93750
-0.05332 1.25000
-0.00119 1.56250
