翼型实验数据

实验日期：2015年05月25日10:30:11
大气压(kPa)：100.1400  温度(℃)：25.70  密度： 1.16754kg/m^3
来流风速: 40.95m/s  攻角：-10.00  雷诺数：2.01E+006 马赫数：0.12  弦长：0.800000
来流总压：101.0451kPa 来流静压：100.0663kPa 来流动压：978.8Pa
升力系数：-0.6781 0.0055 0.0055   阻力系数： 0.0312

力矩系数：-0.1135 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.92780     -0.86846    001   0.00000
001     -0.27060     -0.19704    002   0.00050
002     0.11660     0.19853    003   0.00125
003     0.43530     0.52413    004   0.00250
004     0.69230     0.78668    005   0.00500
005     0.79160     0.88813    006   0.00750
006     0.89070     0.98938    007   0.01000
007     0.87440     0.97272    008   0.01500
008     0.88440     0.98294    009   0.02500
009     0.79370     0.89028    010   0.05000
010     0.49210     0.58215    012   0.10000
011     0.34120     0.42799    013   0.12500
012     0.21130     0.29528    014   0.15000
013     0.09310     0.17452    015   0.17500
014     -0.00460     0.07471    016   0.20000
015     -0.10080     -0.02357    017   0.22500
016     -0.25490     -0.18100    019   0.27500
017     -0.37060     -0.29920    021   0.32500
018     -0.41880     -0.34845    022   0.35000
019     -0.43990     -0.37000    023   0.37500
020     -0.48380     -0.41485    024   0.40000
021     -0.49030     -0.42149    025   0.42500
022     -0.48630     -0.41741    026   0.45000
023     -0.48960     -0.42078    027   0.47500
024     -0.47710     -0.40801    028   0.50000
025     -0.44820     -0.37848    029   0.52500
026     -0.41800     -0.34763    030   0.55000
027     -0.39890     -0.32812    031   0.57500
028     -0.37930     -0.30809    032   0.60000
029     -0.35570     -0.28398    033   0.62500
030     -0.33460     -0.26243    034   0.65000
031     -0.29420     -0.22115    035   0.67500
032     -0.25480     -0.18090    036   0.70000
033     -0.22210     -0.14749    038   0.75000
034     -0.18220     -0.10673    040   0.80000
035     -0.16310     -0.08722    041   0.82500
036     -0.15320     -0.07710    042   0.85000
037     -0.13220     -0.05565    043   0.87500
038     -0.12980     -0.05320    044   0.90000
039     -0.11210     -0.03511    045   0.92500
040     -0.10070     -0.02347    046   0.95000
041     -0.05290     0.02537    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -1.34870     -1.29846    096    0.00000
001     -2.09690     -2.06284    095    0.00050
002     -2.37750     -2.34951    094    0.00125
003     -2.62610     -2.60349    093    0.00250
004     -2.61500     -2.59215    092    0.00500
005     -2.49480     -2.46935    091    0.00750
006     -2.65320     -2.63117    090    0.01000
007     -2.57060     -2.54679    089    0.01500
008     -2.50170     -2.47640    088    0.02500
009     -2.27920     -2.24908    087    0.05000
010     -1.97310     -1.93636    086    0.07500
011     -1.70900     -1.66655    084    0.12500
012     -1.62020     -1.57583    083    0.15000
013     -1.55930     -1.51361    082    0.17500
014     -1.40870     -1.35976    081    0.20000
015     -1.45240     -1.40440    080    0.22500
016     -1.39440     -1.34515    079    0.25000
017     -1.31080     -1.25974    078    0.27500
018     -1.20680     -1.15349    077    0.30000
019     -1.12270     -1.06757    076    0.32500
020     -1.09230     -1.03651    075    0.35000
021     -0.97330     -0.91494    074    0.37500
022     -0.86230     -0.80154    073    0.40000
023     -0.76460     -0.70173    072    0.42500
024     -0.65110     -0.58577    071    0.45000
025     -0.53020     -0.46226    070    0.47500
026     -0.40860     -0.33803    069    0.50000
027     -0.32090     -0.24843    068    0.52500
028     -0.27650     -0.20307    067    0.55000
029     -0.25570     -0.18182    066    0.57500
030     -0.24390     -0.16976    065    0.60000
031     -0.24320     -0.16905    064    0.62500
032     -0.24580     -0.17171    063    0.65000
033     -0.23500     -0.16067    062    0.67500
034     -0.22770     -0.15321    061    0.70000
035     -0.22040     -0.14576    060    0.72500
036     -0.21230     -0.13748    059    0.75000
037     -0.18640     -0.11102    056    0.82500
038     -0.17070     -0.09498    055    0.85000
039     -0.15580     -0.07976    054    0.87500
040     -0.13460     -0.05810    053    0.90000
041     -0.10660     -0.02949    052    0.92500
042     -0.07630     0.00146    051    0.95000
043     -0.04170     0.03681    050    0.97500
044     -0.01980     0.05918    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.91640     1.01563     129    0.06250
001     0.91590     1.01512     130    0.08750
002     0.91480     1.01400     131    0.11250
003     0.91700     1.01624     132    0.13750
004     0.91810     1.01737     133    0.16250
005     0.91220     1.01134     134    0.18750
006     0.91900     1.01829     135    0.21250
007     0.91930     1.01859     136    0.23750
008     0.91620     1.01543     137    0.26250
009     0.91770     1.01696     138    0.28750
010     0.91390     1.01308     139    0.31250
011     0.91690     1.01614     140    0.33750
012     0.91770     1.01696     141    0.36250
013     0.91960     1.01890     142    0.38750
014     0.91950     1.01880     143    0.41250
015     0.91610     1.01532     144    0.43750
016     0.91790     1.01716     145    0.45250
017     0.91690     1.01614     146    0.46750
018     0.91580     1.01502     147    0.48250
019     0.91980     1.01910     148    0.49750
020     0.91420     1.01338     149    0.51250
021     0.91670     1.01594     150    0.52750
022     0.90290     1.00184     151    0.54250
023     0.91950     1.01880     152    0.55750
024     0.91490     1.01410     153    0.57250
025     0.91850     1.01778     154    0.58750
026     0.91970     1.01900     155    0.60250
027     0.91790     1.01716     156    0.61750
028     0.91870     1.01798     157    0.63250
029     0.91550     1.01471     158    0.64750
030     0.91590     1.01512     159    0.66250
031     0.91550     1.01471     160    0.67750
032     0.91640     1.01563     161    0.69250
033     0.90720     1.00623     162    0.70750
