翼型实验数据

实验日期：2015年05月25日10:34:00
大气压(kPa)：100.1300  温度(℃)：25.90  密度： 1.16664kg/m^3
来流风速: 41.12m/s  攻角：-2.00  雷诺数：2.01E+006 马赫数：0.12  弦长：0.800000
来流总压：101.0290kPa 来流静压：100.0429kPa 来流动压：986.1Pa
升力系数：0.3061 0.0002 0.0002   阻力系数： 0.0071

力矩系数：-0.1159 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.91250     1.00966    001   0.00000
001     0.89380     0.99070    002   0.00050
002     0.82940     0.92539    003   0.00125
003     0.73270     0.82733    004   0.00250
004     0.55430     0.64642    005   0.00500
005     0.45870     0.54948    006   0.00750
006     0.27780     0.36603    007   0.01000
007     0.15380     0.24029    008   0.01500
008     -0.02600     0.05795    009   0.02500
009     -0.18080     -0.09902    010   0.05000
010     -0.46990     -0.39219    012   0.10000
011     -0.57960     -0.50344    013   0.12500
012     -0.67410     -0.59927    014   0.15000
013     -0.76700     -0.69348    015   0.17500
014     -0.78800     -0.71477    016   0.20000
015     -0.89490     -0.82318    017   0.22500
016     -0.99040     -0.92002    019   0.27500
017     -1.03830     -0.96859    021   0.32500
018     -1.05780     -0.98837    022   0.35000
019     -1.04050     -0.97083    023   0.37500
020     -1.05010     -0.98056    024   0.40000
021     -1.02390     -0.95399    025   0.42500
022     -0.98520     -0.91475    026   0.45000
023     -0.95200     -0.88108    027   0.47500
024     -0.90920     -0.83768    028   0.50000
025     -0.87050     -0.79843    029   0.52500
026     -0.76770     -0.69419    030   0.55000
027     -0.68360     -0.60890    031   0.57500
028     -0.64980     -0.57463    032   0.60000
029     -0.59070     -0.51469    033   0.62500
030     -0.56670     -0.49036    034   0.65000
031     -0.51650     -0.43945    035   0.67500
032     -0.46910     -0.39138    036   0.70000
033     -0.38570     -0.30681    038   0.75000
034     -0.30700     -0.22700    040   0.80000
035     -0.26940     -0.18887    041   0.82500
036     -0.23950     -0.15855    042   0.85000
037     -0.19890     -0.11738    043   0.87500
038     -0.17520     -0.09335    044   0.90000
039     -0.13290     -0.05045    045   0.92500
040     -0.09340     -0.01039    046   0.95000
041     0.02340     0.10805    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.86400     0.96048    096    0.00000
001     0.69200     0.78606    095    0.00050
002     0.53330     0.62513    094    0.00125
003     0.36000     0.44939    093    0.00250
004     0.21540     0.30275    092    0.00500
005     0.01080     0.09527    091    0.00750
006     -0.12220     -0.03960    090    0.01000
007     -0.31100     -0.23106    089    0.01500
008     -0.40530     -0.32668    088    0.02500
009     -0.48870     -0.41126    087    0.05000
010     -0.57240     -0.49614    086    0.07500
011     -0.65700     -0.58193    084    0.12500
012     -0.68280     -0.60809    083    0.15000
013     -0.70540     -0.63101    082    0.17500
014     -0.71850     -0.64429    081    0.20000
015     -0.74960     -0.67583    080    0.22500
016     -0.76080     -0.68719    079    0.25000
017     -0.74190     -0.66802    078    0.27500
018     -0.70570     -0.63131    077    0.30000
019     -0.68560     -0.61093    076    0.32500
020     -0.70000     -0.62553    075    0.35000
021     -0.65640     -0.58132    074    0.37500
022     -0.61680     -0.54116    073    0.40000
023     -0.58790     -0.51185    072    0.42500
024     -0.52510     -0.44817    071    0.45000
025     -0.44560     -0.36755    070    0.47500
026     -0.39600     -0.31725    069    0.50000
027     -0.31410     -0.23420    068    0.52500
028     -0.25940     -0.17873    067    0.55000
029     -0.20290     -0.12144    066    0.57500
030     -0.14230     -0.05998    065    0.60000
031     -0.08100     0.00218    064    0.62500
032     -0.03610     0.04771    063    0.65000
033     0.01410     0.09862    062    0.67500
034     0.07020     0.15551    061    0.70000
035     0.11550     0.20145    060    0.72500
036     0.15030     0.23674    059    0.75000
037     0.22510     0.31259    056    0.82500
038     0.24630     0.33409    055    0.85000
039     0.24710     0.33490    054    0.87500
040     0.24810     0.33591    053    0.90000
041     0.23940     0.32709    052    0.92500
042     0.20340     0.29058    051    0.95000
043     0.17880     0.26564    050    0.97500
044     0.09920     0.18492    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.91470     1.01190     129    0.06250
001     0.91460     1.01179     130    0.08750
002     0.91450     1.01169     131    0.11250
003     0.91700     1.01423     132    0.13750
004     0.91530     1.01250     133    0.16250
005     0.91150     1.00865     134    0.18750
006     0.91780     1.01504     135    0.21250
007     0.91680     1.01402     136    0.23750
008     0.91440     1.01159     137    0.26250
009     0.91650     1.01372     138    0.28750
010     0.91190     1.00906     139    0.31250
011     0.91620     1.01342     140    0.33750
012     0.91690     1.01413     141    0.36250
013     0.91900     1.01626     142    0.38750
014     0.91690     1.01413     143    0.41250
015     0.91540     1.01260     144    0.43750
016     0.91710     1.01433     145    0.45250
017     0.91590     1.01311     146    0.46750
018     0.91440     1.01159     147    0.48250
019     0.92090     1.01818     148    0.49750
020     0.91480     1.01200     149    0.51250
021     0.91630     1.01352     150    0.52750
022     0.90140     0.99841     151    0.54250
023     0.91920     1.01646     152    0.55750
024     0.91300     1.01017     153    0.57250
025     0.91780     1.01504     154    0.58750
026     0.91820     1.01544     155    0.60250
027     0.91690     1.01413     156    0.61750
028     0.91760     1.01484     157    0.63250
029     0.91230     1.00946     158    0.64750
030     0.91710     1.01433     159    0.66250
031     0.91420     1.01139     160    0.67750
032     0.91500     1.01220     161    0.69250
033     0.90580     1.00287     162    0.70750
034     0.91310     1.01027     163    0.72250
035     0.91330     1.01048     164    0.73750
036     0.89920     0.99618     165    0.74750
037     0.91120     1.00835     166    0.75750
038     0.91240     1.00956     167    0.76750
039     0.90490     1.00196     168    0.77750
040     0.91320     1.01037     169    0.78750
041     0.91070     1.00784     170    0.79750
042     0.91680     1.01402     171    0.80750
043     0.91450     1.01169     172    0.81750
044     0.90900     1.00611     173    0.82750
045     0.91420     1.01139     174    0.83750
046     0.91620     1.01342     175    0.84750
047     0.91430     1.01149     176    0.85750
048     0.91160     1.00875     177    0.86750
049     0.91470     1.01190     178    0.87750
050     0.91520     1.01240     179    0.88750
051     0.91110     1.00824     180    0.89750
052     0.91440     1.01159     181    0.90750
053     0.91380     1.01098     182    0.91750
054     0.90940     1.00652     183    0.92750
055     0.91200     1.00916     184    0.93750
056     0.91410     1.01129     185    0.94750
057     0.92290     1.02021     186    0.95750
058     0.91670     1.01392     187    0.96750
