翼型实验数据

实验日期：2015年05月25日10:34:51
大气压(kPa)：100.1200  温度(℃)：25.90  密度： 1.16653kg/m^3
来流风速: 41.26m/s  攻角：0.00  雷诺数：2.02E+006 马赫数：0.12  弦长：0.800000
来流总压：101.0252kPa 来流静压：100.0321kPa 来流动压：993.1Pa
升力系数：0.5614 0.0000 0.0000   阻力系数： 0.0076

力矩系数：-0.1058 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.86030     0.95559    001   0.00000
001     0.69340     0.78761    002   0.00050
002     0.56150     0.65485    003   0.00125
003     0.39520     0.48747    004   0.00250
004     0.13560     0.22618    005   0.00500
005     0.01900     0.10882    006   0.00750
006     -0.18100     -0.09248    007   0.01000
007     -0.29940     -0.21165    008   0.01500
008     -0.46250     -0.37581    009   0.02500
009     -0.58780     -0.50192    010   0.05000
010     -0.80200     -0.71752    012   0.10000
011     -0.88290     -0.79894    013   0.12500
012     -0.95430     -0.87081    014   0.15000
013     -1.03200     -0.94901    015   0.17500
014     -1.04500     -0.96210    016   0.20000
015     -1.13180     -1.04946    017   0.22500
016     -1.20280     -1.12092    019   0.27500
017     -1.22720     -1.14548    021   0.32500
018     -1.23690     -1.15524    022   0.35000
019     -1.20900     -1.12716    023   0.37500
020     -1.20680     -1.12495    024   0.40000
021     -1.17090     -1.08881    025   0.42500
022     -1.12460     -1.04221    026   0.45000
023     -1.08420     -1.00155    027   0.47500
024     -1.04080     -0.95787    028   0.50000
025     -0.97280     -0.88943    029   0.52500
026     -0.81140     -0.72698    030   0.55000
027     -0.78360     -0.69900    031   0.57500
028     -0.73450     -0.64958    032   0.60000
029     -0.66310     -0.57771    033   0.62500
030     -0.63270     -0.54711    034   0.65000
031     -0.57500     -0.48904    035   0.67500
032     -0.52250     -0.43620    036   0.70000
033     -0.42830     -0.34139    038   0.75000
034     -0.33990     -0.25241    040   0.80000
035     -0.29840     -0.21064    041   0.82500
036     -0.26460     -0.17662    042   0.85000
037     -0.21950     -0.13123    043   0.87500
038     -0.19050     -0.10204    044   0.90000
039     -0.14420     -0.05544    045   0.92500
040     -0.10080     -0.01176    046   0.95000
041     0.01960     0.10943    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.91900     1.01467    096    0.00000
001     0.89850     0.99404    095    0.00050
002     0.82170     0.91674    094    0.00125
003     0.71250     0.80683    093    0.00250
004     0.60890     0.70256    092    0.00500
005     0.44590     0.53850    091    0.00750
006     0.31760     0.40936    090    0.01000
007     0.10220     0.19256    089    0.01500
008     -0.01950     0.07007    088    0.02500
009     -0.14440     -0.05564    087    0.05000
010     -0.27110     -0.18316    086    0.07500
011     -0.41570     -0.32870    084    0.12500
012     -0.46040     -0.37369    083    0.15000
013     -0.50040     -0.41395    082    0.17500
014     -0.52480     -0.43851    081    0.20000
015     -0.57080     -0.48481    080    0.22500
016     -0.59390     -0.50806    079    0.25000
017     -0.58770     -0.50182    078    0.27500
018     -0.56260     -0.47656    077    0.30000
019     -0.55260     -0.46649    076    0.32500
020     -0.57730     -0.49135    075    0.35000
021     -0.54010     -0.45391    074    0.37500
022     -0.50470     -0.41828    073    0.40000
023     -0.47670     -0.39010    072    0.42500
024     -0.44940     -0.36262    071    0.45000
025     -0.41110     -0.32407    070    0.47500
026     -0.30910     -0.22141    069    0.50000
027     -0.24110     -0.15297    068    0.52500
028     -0.19830     -0.10989    067    0.55000
029     -0.14840     -0.05967    066    0.57500
030     -0.09440     -0.00531    065    0.60000
031     -0.03720     0.05226    064    0.62500
032     0.00270     0.09242    063    0.65000
033     0.04900     0.13902    062    0.67500
034     0.10390     0.19427    061    0.70000
035     0.14790     0.23856    060    0.72500
036     0.18010     0.27097    059    0.75000
037     0.25050     0.34183    056    0.82500
038     0.27310     0.36458    055    0.85000
039     0.26910     0.36055    054    0.87500
040     0.26750     0.35894    053    0.90000
041     0.25510     0.34646    052    0.92500
042     0.21350     0.30459    051    0.95000
043     0.18420     0.27510    050    0.97500
044     0.09060     0.18089    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.91970     1.01538     129    0.06250
001     0.92140     1.01709     130    0.08750
002     0.92000     1.01568     131    0.11250
003     0.92130     1.01699     132    0.13750
004     0.92020     1.01588     133    0.16250
005     0.91700     1.01266     134    0.18750
