翼型实验数据

实验日期：2015年05月25日10:36:35
大气压(kPa)：100.1200  温度(℃)：25.90  密度： 1.16653kg/m^3
来流风速: 40.92m/s  攻角：3.00  雷诺数：2.00E+006 马赫数：0.12  弦长：0.800000
来流总压：101.0047kPa 来流静压：100.0279kPa 来流动压：976.9Pa
升力系数：0.9432 -0.0004 -0.0004   阻力系数： 0.0081

力矩系数：-0.0874 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.35790     0.45607    001   0.00000
001     -0.01650     0.07172    002   0.00050
002     -0.21430     -0.13134    003   0.00125
003     -0.44910     -0.37238    004   0.00250
004     -0.77800     -0.71003    005   0.00500
005     -0.90140     -0.83671    006   0.00750
006     -1.07990     -1.01996    007   0.01000
007     -1.16480     -1.10711    008   0.01500
008     -1.23950     -1.18380    009   0.02500
009     -1.27790     -1.22322    010   0.05000
010     -1.32590     -1.27250    012   0.10000
011     -1.34340     -1.29046    013   0.12500
012     -1.37020     -1.31798    014   0.15000
013     -1.41680     -1.36581    015   0.17500
014     -1.42210     -1.37126    016   0.20000
015     -1.46060     -1.41078    017   0.22500
016     -1.48810     -1.43901    019   0.27500
017     -1.47120     -1.42166    021   0.32500
018     -1.46300     -1.41324    022   0.35000
019     -1.41930     -1.36838    023   0.37500
020     -1.39790     -1.34641    024   0.40000
021     -1.35090     -1.29816    025   0.42500
022     -1.30300     -1.24899    026   0.45000
023     -1.25720     -1.20197    027   0.47500
024     -1.12310     -1.06431    028   0.50000
025     -1.01760     -0.95600    029   0.52500
026     -0.93580     -0.87203    030   0.55000
027     -0.88730     -0.82224    031   0.57500
028     -0.82070     -0.75387    032   0.60000
029     -0.73930     -0.67030    033   0.62500
030     -0.69790     -0.62780    034   0.65000
031     -0.63400     -0.56220    035   0.67500
032     -0.57330     -0.49989    036   0.70000
033     -0.46550     -0.38922    038   0.75000
034     -0.36820     -0.28933    040   0.80000
035     -0.32030     -0.24016    041   0.82500
036     -0.28070     -0.19951    042   0.85000
037     -0.23080     -0.14828    043   0.87500
038     -0.19680     -0.11338    044   0.90000
039     -0.14720     -0.06246    045   0.92500
040     -0.09980     -0.01380    046   0.95000
041     0.01830     0.10744    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.59350     0.69794    096    0.00000
001     0.81620     0.92656    095    0.00050
002     0.89030     1.00263    094    0.00125
003     0.90330     1.01597    093    0.00250
004     0.88760     0.99986    092    0.00500
005     0.82330     0.93385    091    0.00750
006     0.74130     0.84967    090    0.01000
007     0.56160     0.66519    089    0.01500
008     0.43370     0.53389    088    0.02500
009     0.28830     0.38462    087    0.05000
010     0.12750     0.21955    086    0.07500
011     -0.07530     0.01135    084    0.12500
012     -0.14230     -0.05743    083    0.15000
013     -0.20090     -0.11759    082    0.17500
014     -0.23820     -0.15588    081    0.20000
015     -0.30100     -0.22035    080    0.22500
016     -0.33480     -0.25505    079    0.25000
017     -0.34790     -0.26849    078    0.27500
018     -0.33870     -0.25905    077    0.30000
019     -0.34330     -0.26377    076    0.32500
020     -0.38010     -0.30155    075    0.35000
021     -0.35490     -0.27568    074    0.37500
022     -0.33040     -0.25053    073    0.40000
023     -0.31280     -0.23246    072    0.42500
024     -0.28830     -0.20731    071    0.45000
025     -0.26110     -0.17939    070    0.47500
026     -0.23540     -0.15300    069    0.50000
027     -0.15710     -0.07262    068    0.52500
028     -0.08380     0.00263    067    0.55000
029     -0.05470     0.03250    066    0.57500
030     -0.01490     0.07336    065    0.60000
031     0.03250     0.12202    064    0.62500
032     0.06440     0.15477    063    0.65000
033     0.10240     0.19378    062    0.67500
034     0.15140     0.24408    061    0.70000
035     0.19130     0.28504    060    0.72500
036     0.21920     0.31368    059    0.75000
037     0.27930     0.37538    056    0.82500
038     0.29690     0.39345    055    0.85000
039     0.29110     0.38750    054    0.87500
040     0.28690     0.38318    053    0.90000
041     0.27120     0.36707    052    0.92500
042     0.22660     0.32128    051    0.95000
043     0.19050     0.28422    050    0.97500
044     0.07430     0.16493    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.90250     1.01515     129    0.06250
001     0.90220     1.01484     130    0.08750
002     0.90100     1.01361     131    0.11250
003     0.90330     1.01597     132    0.13750
004     0.90340     1.01608     133    0.16250
