攻角：-2.00
升力系数：0.3076 阻力系数： 0.0063
0.0000 
压力系数 坐标
1.01803 0.00000
0.99625 0.00050
0.91879 0.00125
0.82438 0.00250
0.65091 0.00500
0.55569 0.00750
0.37052 0.01000
0.11958 0.01500
0.05826 0.02500
-0.10150 0.05000
-0.38310 0.10000
-0.50656 0.12500
-0.59451 0.15000
-0.68730 0.17500
-0.68286 0.20000
-0.80954 0.22500
-0.90919 0.27500
-0.95356 0.32500
-0.96325 0.35000
-0.95235 0.37500
-0.97454 0.40000
-0.93259 0.42500
-0.89103 0.45000
-0.85916 0.47500
-0.80470 0.50000
-0.76758 0.52500
-0.75911 0.55000
-0.74055 0.57500
-0.52471 0.60000
-0.48275 0.62500
-0.46742 0.65000
-0.42668 0.67500
-0.38028 0.70000
-0.29717 0.75000
-0.21084 0.80000
-0.17453 0.82500
-0.16565 0.85000
-0.11038 0.87500
-0.08577 0.90000
-0.04502 0.92500
-0.01033 0.95000
0.10425 0.99000
压力系数 坐标
0.98011 0.00000
0.80583 0.00050
0.63880 0.00125
0.46290 0.00250
0.31968 0.00500
0.11675 0.00750
-0.03211 0.01000
-0.20882 0.01500
-0.31694 0.02500
-0.39319 0.05000
-0.47791 0.07500
-0.56465 0.12500
-0.59773 0.15000
-0.60742 0.17500
-0.62315 0.20000
-0.65906 0.22500
-0.64897 0.25000
-0.64978 0.27500
-0.61387 0.30000
-0.59208 0.32500
-0.64211 0.35000
-0.57393 0.37500
-0.52148 0.40000
-0.48598 0.42500
-0.47347 0.45000
-0.45734 0.47500
-0.28951 0.50000
-0.18260 0.52500
-0.16162 0.55000
-0.10029 0.57500
-0.04220 0.60000
0.01226 0.62500
0.03405 0.65000
0.09820 0.67500
0.15831 0.70000
0.20793 0.72500
0.24424 0.75000
0.31363 0.82500
0.34066 0.85000
0.33340 0.87500
0.33905 0.90000
0.32775 0.92500
0.28136 0.95000
0.26078 0.97500
0.17001 0.99000
压力系数 坐标
1.00956 0.06250
1.01844 0.08750
1.00512 0.11250
1.02409 0.13750
1.01723 0.16250
0.99423 0.18750
1.02247 0.21250
1.02287 0.23750
1.01723 0.26250
1.02005 0.28750
1.00956 0.31250
1.01763 0.33750
1.02166 0.36250
1.02772 0.38750
1.03094 0.41250
1.01642 0.43750
1.02086 0.45250
1.01682 0.46750
1.01239 0.48250
1.02731 0.49750
1.01118 0.51250
1.01360 0.52750
0.97083 0.54250
1.02691 0.55750
1.01723 0.57250
1.02409 0.58750
1.01561 0.60250
1.02368 0.61750
1.02005 0.63250
1.01239 0.64750
1.02449 0.66250
1.01642 0.67750
1.00835 0.69250
0.99544 0.70750
1.01158 0.72250
1.01360 0.73750
0.96034 0.74750
1.00875 0.75750
1.00674 0.76750
0.99423 0.77750
1.01400 0.78750
1.00633 0.79750
1.03014 0.80750
1.02207 0.81750
0.99948 0.82750
1.00472 0.83750
1.02166 0.84750
1.01360 0.85750
1.01158 0.86750
1.01198 0.87750
1.02166 0.88750
1.01279 0.89750
1.01682 0.90750
1.01239 0.91750
0.99988 0.92750
1.01239 0.93750
1.01803 0.94750
1.04950 0.95750
1.02812 0.96750
1.00674 0.97750
1.01602 0.98750
0.97608 0.99750
0.96478 1.00750
0.90225 1.01750
0.83850 1.02750
0.80744 1.03750
0.84617 1.04750
0.88732 1.05750
0.95389 1.06750
0.99463 1.07750
1.02449 1.08750
1.01158 1.09750
0.99383 1.10750
1.00472 1.11750
1.00391 1.12750
1.00875 1.13750
1.02530 1.15250
1.00875 1.16750
1.01158 1.18250
1.00230 1.19750
0.99827 1.21250
1.01400 1.22750
1.01561 1.24250
1.00311 1.25750
1.03619 1.27250
1.00230 1.28750
1.00674 1.30250
1.01642 1.31750
1.01158 1.33250
1.01602 1.34750
1.02449 1.36250
1.00028 1.37750
1.01077 1.39250
1.01158 1.40750
1.01481 1.42250
1.00714 1.43750
1.00835 1.46250
1.02449 1.48750
1.02731 1.51250
1.00311 1.53750
1.00351 1.56250
1.00512 1.58750
1.02409 1.61250
0.97850 1.63750
1.00795 1.66250
1.02772 1.68750
0.99867 1.71250
1.00714 1.73750
0.98939 1.76250
1.01400 1.78750
1.02409 1.81250
压力系数 坐标
-0.00549 0.62500
-0.02929 0.93750
-0.05269 1.25000
0.02235 1.56250
