攻角：-6.00
升力系数：-0.1951 阻力系数： 0.0081
0.0000 
压力系数 坐标
0.49100 0.00000
0.79400 0.00050
0.91991 0.00125
0.99748 0.00250
1.01617 0.00500
0.99708 0.00750
0.92153 0.01000
0.69449 0.01500
0.68596 0.02500
0.52106 0.05000
0.17095 0.10000
0.01296 0.12500
-0.10848 0.15000
-0.22058 0.17500
-0.27826 0.20000
-0.38873 0.22500
-0.52561 0.27500
-0.61293 0.32500
-0.64177 0.35000
-0.64705 0.37500
-0.69416 0.40000
-0.66573 0.42500
-0.64339 0.45000
-0.63202 0.47500
-0.59222 0.50000
-0.54998 0.52500
-0.52317 0.55000
-0.49068 0.57500
-0.47606 0.60000
-0.46875 0.62500
-0.35137 0.65000
-0.29775 0.67500
-0.27095 0.70000
-0.21571 0.75000
-0.15316 0.80000
-0.11986 0.82500
-0.11701 0.85000
-0.06909 0.87500
-0.05690 0.90000
-0.02522 0.92500
0.00280 0.95000
0.11043 0.99000
压力系数 坐标
0.24650 0.00000
-0.24414 0.00050
-0.51464 0.00125
-0.76646 0.00250
-0.94923 0.00500
-1.18927 0.00750
-1.28228 0.01000
-1.30137 0.01500
-1.29893 0.02500
-1.24166 0.05000
-1.19211 0.07500
-1.12347 0.12500
-1.10032 0.15000
-1.06823 0.17500
-1.05686 0.20000
-1.05402 0.22500
-1.01381 0.25000
-0.99147 0.27500
-0.93826 0.30000
-0.90171 0.32500
-0.92608 0.35000
-0.85541 0.37500
-0.76280 0.40000
-0.64542 0.42500
-0.59669 0.45000
-0.53739 0.47500
-0.45778 0.50000
-0.35259 0.52500
-0.29775 0.55000
-0.21896 0.57500
-0.14748 0.60000
-0.08249 0.62500
-0.04878 0.65000
0.02514 0.67500
0.08647 0.70000
0.14049 0.72500
0.18598 0.75000
0.25584 0.82500
0.28508 0.85000
0.28021 0.87500
0.29280 0.90000
0.28549 0.92500
0.25137 0.95000
0.24203 0.97500
0.17786 0.99000
压力系数 坐标
1.00642 0.06250
1.01048 0.08750
1.00317 0.11250
1.02348 0.13750
1.00845 0.16250
0.99789 0.18750
1.01738 0.21250
1.01292 0.23750
1.00642 0.26250
1.01657 0.28750
1.00276 0.31250
1.00601 0.33750
1.02226 0.36250
1.02307 0.38750
1.02469 0.41250
1.00520 0.43750
1.01779 0.45250
1.01251 0.46750
1.00642 0.48250
1.02063 0.49750
1.00804 0.51250
1.01129 0.52750
0.95890 0.54250
1.02794 0.55750
1.01048 0.57250
1.02104 0.58750
1.01413 0.60250
1.02145 0.61750
1.01657 0.63250
1.01089 0.64750
1.01941 0.66250
1.01292 0.67750
1.01251 0.69250
0.98692 0.70750
1.01495 0.72250
1.00723 0.73750
0.95484 0.74750
0.99992 0.75750
0.99789 0.76750
0.98692 0.77750
0.99992 0.78750
1.00236 0.79750
1.02551 0.80750
1.02023 0.81750
0.99423 0.82750
1.00276 0.83750
1.01495 0.84750
1.00885 0.85750
1.00560 0.86750
1.00804 0.87750
1.01373 0.88750
1.00398 0.89750
1.01292 0.90750
1.00926 0.91750
0.99667 0.92750
1.00114 0.93750
1.00398 0.94750
1.04866 0.95750
1.02388 0.96750
1.00642 0.97750
1.00804 0.98750
0.99220 0.99750
1.01292 1.00750
1.01860 1.01750
1.00236 1.02750
0.99464 1.03750
1.01292 1.04750
0.99951 1.05750
0.99464 1.06750
0.97311 1.07750
0.93940 1.08750
0.85289 1.09750
0.80659 1.10750
0.82040 1.11750
0.86751 1.12750
0.93453 1.13750
1.00804 1.15250
1.00479 1.16750
1.00926 1.18250
0.99504 1.19750
1.00317 1.21250
1.00601 1.22750
1.00967 1.24250
1.00845 1.25750
1.01170 1.27250
1.00560 1.28750
1.00317 1.30250
1.00967 1.31750
1.00885 1.33250
1.01210 1.34750
1.00967 1.36250
0.99139 1.37750
1.00479 1.39250
1.01048 1.40750
1.00804 1.42250
1.01007 1.43750
1.00073 1.46250
1.01535 1.48750
1.01941 1.51250
0.99504 1.53750
0.99870 1.56250
0.99667 1.58750
1.01820 1.61250
0.97392 1.63750
1.01089 1.66250
1.02713 1.68750
0.99504 1.71250
1.01129 1.73750
0.99220 1.76250
1.01129 1.78750
1.01860 1.81250
压力系数 坐标
-0.02603 0.62500
-0.04187 0.93750
-0.04066 1.25000
0.02027 1.56250
