攻角：9.00
升力系数：1.4222 阻力系数： 0.0191
0.0000 
压力系数 坐标
-1.43018 0.00000
-2.09437 0.00050
-2.32012 0.00125
-2.59109 0.00250
-2.92074 0.00500
-2.98920 0.00750
-3.02710 0.01000
-3.11185 0.01500
-2.78587 0.02500
-2.60046 0.05000
-2.24066 0.10000
-2.11964 0.12500
-2.04588 0.15000
-1.97946 0.17500
-1.76024 0.20000
-1.88126 0.22500
-1.81403 0.27500
-1.71501 0.32500
-1.66366 0.35000
-1.57443 0.37500
-1.54061 0.40000
-1.42651 0.42500
-1.32383 0.45000
-1.23459 0.47500
-1.12497 0.50000
-1.00110 0.52500
-0.90086 0.55000
-0.80592 0.57500
-0.71831 0.60000
-0.63600 0.62500
-0.55165 0.65000
-0.47912 0.67500
-0.40414 0.70000
-0.28923 0.75000
-0.20896 0.80000
-0.17514 0.82500
-0.17962 0.85000
-0.14620 0.87500
-0.13683 0.90000
-0.12868 0.92500
-0.13316 0.95000
-0.12624 0.99000
压力系数 坐标
-0.90045 0.00000
-0.17106 0.00050
0.26617 0.00125
0.55833 0.00250
0.74822 0.00500
0.90673 0.00750
0.97396 0.01000
1.02816 0.01500
0.96459 0.02500
0.87413 0.05000
0.72173 0.07500
0.47154 0.12500
0.37985 0.15000
0.31343 0.17500
0.26046 0.20000
0.16593 0.22500
0.13944 0.25000
0.08036 0.27500
0.06691 0.30000
0.04042 0.32500
-0.05126 0.35000
-0.02477 0.37500
-0.00359 0.40000
-0.00073 0.42500
-0.00440 0.45000
0.00660 0.47500
0.04205 0.50000
0.08117 0.52500
0.07710 0.55000
0.10643 0.57500
0.12599 0.60000
0.16796 0.62500
0.23438 0.65000
0.26168 0.67500
0.29551 0.70000
0.32933 0.72500
0.35052 0.75000
0.37333 0.82500
0.39249 0.85000
0.37211 0.87500
0.35704 0.90000
0.32607 0.92500
0.23805 0.95000
0.16307 0.97500
-0.12502 0.99000
压力系数 坐标
1.01471 0.06250
1.02041 0.08750
1.01715 0.11250
1.03060 0.13750
1.02041 0.16250
1.00452 0.18750
1.02653 0.21250
1.02286 0.23750
1.01960 0.26250
1.02734 0.28750
1.01634 0.31250
1.02612 0.33750
1.02408 0.36250
1.03427 0.38750
1.03019 0.41250
1.02123 0.43750
1.02612 0.45250
1.02082 0.46750
1.02001 0.48250
1.03060 0.49750
1.01349 0.51250
1.02816 0.52750
0.97111 0.54250
1.03182 0.55750
1.02367 0.57250
1.02938 0.58750
1.02082 0.60250
1.03345 0.61750
1.02490 0.63250
1.01390 0.64750
1.03101 0.66250
1.01308 0.67750
1.02775 0.69250
1.00086 0.70750
1.01552 0.72250
1.01675 0.73750
0.97070 0.74750
1.01227 0.75750
1.00249 0.76750
0.98007 0.77750
0.99271 0.78750
0.96907 0.79750
0.98170 0.80750
0.95563 0.81750
0.89817 0.82750
0.87983 0.83750
0.86476 0.84750
0.83297 0.85750
0.81464 0.86750
0.81708 0.87750
0.83623 0.88750
0.84846 0.89750
0.88309 0.90750
0.89776 0.91750
0.90876 0.92750
0.94096 0.93750
0.96459 0.94750
1.02041 0.95750
1.01023 0.96750
0.99597 0.97750
1.01552 0.98750
1.00167 0.99750
1.02490 1.00750
1.02408 1.01750
1.01145 1.02750
0.99841 1.03750
1.02734 1.04750
1.01349 1.05750
1.01471 1.06750
1.01960 1.07750
1.03753 1.08750
1.02490 1.09750
0.99637 1.10750
1.00371 1.11750
1.01104 1.12750
1.01430 1.13750
1.03142 1.15250
1.01634 1.16750
1.01512 1.18250
1.00738 1.19750
1.00615 1.21250
1.00738 1.22750
1.01715 1.24250
1.02775 1.25750
1.02612 1.27250
1.01634 1.28750
1.02041 1.30250
1.01960 1.31750
1.01797 1.33250
1.02164 1.34750
1.02530 1.36250
1.00208 1.37750
1.01878 1.39250
1.02041 1.40750
1.01838 1.42250
1.02693 1.43750
1.01390 1.46250
1.02856 1.48750
1.03101 1.51250
1.00860 1.53750
1.00493 1.56250
1.01023 1.58750
1.02897 1.61250
0.98374 1.63750
1.02327 1.66250
1.03142 1.68750
1.00534 1.71250
1.01634 1.73750
1.00126 1.76250
1.01756 1.78750
1.03142 1.81250
压力系数 坐标
0.02698 0.62500
-0.01663 0.93750
-0.05615 1.25000
0.00660 1.56250
