翼型实验数据

实验日期：2015年05月25日09:58:04
大气压(kPa)：100.1600  温度(℃)：24.70  密度： 1.17170kg/m^3
来流风速: 20.44m/s  攻角：-9.00  雷诺数：1.01E+006 马赫数：0.06  弦长：0.800000
来流总压：100.3889kPa 来流静压：100.1442kPa 来流动压：244.7Pa
升力系数：-0.5610 0.0019 0.0019   阻力系数： 0.0120

力矩系数：-0.1298 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.12500     -0.44112    001   0.00000
001     0.01530     0.13039    002   0.00050
002     0.09300     0.44690    003   0.00125
003     0.15650     0.70557    004   0.00250
004     0.20560     0.90558    005   0.00500
005     0.22130     0.96953    006   0.00750
006     0.23330     1.01841    007   0.01000
007     0.19240     0.85181    008   0.01500
008     0.21490     0.94346    009   0.02500
009     0.18510     0.82207    010   0.05000
010     0.10530     0.49701    012   0.10000
011     0.06460     0.33122    013   0.12500
012     0.03340     0.20412    014   0.15000
013     0.00400     0.08436    015   0.17500
014     -0.02000     -0.01340    016   0.20000
015     -0.04250     -0.10506    017   0.22500
016     -0.08160     -0.26433    019   0.27500
017     -0.10740     -0.36942    021   0.32500
018     -0.11750     -0.41057    022   0.35000
019     -0.12230     -0.43012    023   0.37500
020     -0.13620     -0.48674    024   0.40000
021     -0.13310     -0.47411    025   0.42500
022     -0.13070     -0.46434    026   0.45000
023     -0.13110     -0.46597    027   0.47500
024     -0.12560     -0.44356    028   0.50000
025     -0.11620     -0.40527    029   0.52500
026     -0.11000     -0.38002    030   0.55000
027     -0.10360     -0.35395    031   0.57500
028     -0.09870     -0.33399    032   0.60000
029     -0.09580     -0.32217    033   0.62500
030     -0.08900     -0.29447    034   0.65000
031     -0.08500     -0.27818    035   0.67500
032     -0.07780     -0.24885    036   0.70000
033     -0.05030     -0.13683    038   0.75000
034     -0.03950     -0.09283    040   0.80000
035     -0.03450     -0.07247    041   0.82500
036     -0.03590     -0.07817    042   0.85000
037     -0.02580     -0.03703    043   0.87500
038     -0.02450     -0.03173    044   0.90000
039     -0.01770     -0.00403    045   0.92500
040     -0.01390     0.01145    046   0.95000
041     0.00690     0.09617    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.21640     -0.81343    096    0.00000
001     -0.38880     -1.51570    095    0.00050
002     -0.46110     -1.81022    094    0.00125
003     -0.52410     -2.06685    093    0.00250
004     -0.56790     -2.24526    092    0.00500
005     -0.61940     -2.45505    091    0.00750
006     -0.62180     -2.46483    090    0.01000
007     -0.57520     -2.27500    089    0.01500
008     -0.54460     -2.15035    088    0.02500
009     -0.49720     -1.95727    087    0.05000
010     -0.45230     -1.77437    086    0.07500
011     -0.40060     -1.56377    084    0.12500
012     -0.37860     -1.47415    083    0.15000
013     -0.35450     -1.37598    082    0.17500
014     -0.32570     -1.25867    081    0.20000
015     -0.34000     -1.31692    080    0.22500
016     -0.32580     -1.25907    079    0.25000
017     -0.31450     -1.21304    078    0.27500
018     -0.29190     -1.12098    077    0.30000
019     -0.27530     -1.05336    076    0.32500
020     -0.28320     -1.08554    075    0.35000
021     -0.25210     -0.95886    074    0.37500
022     -0.22590     -0.85213    073    0.40000
023     -0.20690     -0.77474    072    0.42500
024     -0.18920     -0.70264    071    0.45000
025     -0.16780     -0.61546    070    0.47500
026     -0.14110     -0.50670    069    0.50000
027     -0.11410     -0.39672    068    0.52500
028     -0.09690     -0.32665    067    0.55000
029     -0.07610     -0.24192    066    0.57500
030     -0.05570     -0.15883    065    0.60000
031     -0.04290     -0.10668    064    0.62500
032     -0.03740     -0.08428    063    0.65000
033     -0.02360     -0.02807    062    0.67500
034     -0.01570     0.00411    061    0.70000
035     -0.00990     0.02774    060    0.72500
036     -0.00310     0.05544    059    0.75000
037     0.00320     0.08110    056    0.82500
038     0.00860     0.10310    055    0.85000
039     0.01040     0.11043    054    0.87500
040     0.01700     0.13732    053    0.90000
041     0.01980     0.14872    052    0.92500
042     0.02030     0.15076    051    0.95000
043     0.02660     0.17642    050    0.97500
044     0.02350     0.16379    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.23100     1.00904     129    0.06250
001     0.23250     1.01515     130    0.08750
002     0.23090     1.00864     131    0.11250
003     0.23500     1.02534     132    0.13750
004     0.23120     1.00986     133    0.16250
005     0.22970     1.00375     134    0.18750
006     0.23400     1.02126     135    0.21250
007     0.23370     1.02004     136    0.23750
008     0.23160     1.01149     137    0.26250
009     0.23420     1.02208     138    0.28750
010     0.23070     1.00782     139    0.31250
011     0.23290     1.01678     140    0.33750
012     0.23260     1.01556     141    0.36250
013     0.23530     1.02656     142    0.38750
014     0.23440     1.02289     143    0.41250
015     0.23150     1.01108     144    0.43750
016     0.23180     1.01230     145    0.45250
017     0.23210     1.01352     146    0.46750
018     0.23120     1.00986     147    0.48250
019     0.23720     1.03430     148    0.49750
020     0.23220     1.01393     149    0.51250
021     0.23210     1.01352     150    0.52750
022     0.21920     0.96098     151    0.54250
023     0.23530     1.02656     152    0.55750
024     0.23320     1.01800     153    0.57250
025     0.23450     1.02330     154    0.58750
026     0.23340     1.01882     155    0.60250
027     0.23440     1.02289     156    0.61750
028     0.23440     1.02289     157    0.63250
029     0.23120     1.00986     158    0.64750
030     0.23400     1.02126     159    0.66250
031     0.23170     1.01189     160    0.67750
032     0.23320     1.01800     161    0.69250
033     0.22720     0.99356     162    0.70750
034     0.23240     1.01475     163    0.72250
035     0.23190     1.01271     164    0.73750
036     0.21800     0.95609     165    0.74750
037     0.23060     1.00741     166    0.75750
038     0.23090     1.00864     167    0.76750
039     0.22780     0.99601     168    0.77750
040     0.23060     1.00741     169    0.78750
041     0.23140     1.01067     170    0.79750
042     0.23580     1.02860     171    0.80750
043     0.23470     1.02412     172    0.81750
044     0.22890     1.00049     173    0.82750
045     0.22970     1.00375     174    0.83750
046     0.23460     1.02371     175    0.84750
047     0.23140     1.01067     176    0.85750
048     0.23140     1.01067     177    0.86750
049     0.22930     1.00212     178    0.87750
050     0.23440     1.02289     179    0.88750
051     0.23130     1.01027     180    0.89750
052     0.23350     1.01923     181    0.90750
053     0.23230     1.01434     182    0.91750
054     0.22810     0.99723     183    0.92750
055     0.23020     1.00578     184    0.93750
056     0.23130     1.01027     185    0.94750
057     0.24060     1.04815     186    0.95750
058     0.23520     1.02615     187    0.96750
059     0.23120     1.00986     188    0.97750
060     0.23250     1.01515     189    0.98750
061     0.22780     0.99601     190    0.99750
062     0.23250     1.01515     191    1.00750
063     0.23410     1.02167     192    1.01750
064     0.23070     1.00782     193    1.02750
065     0.22860     0.99927     194    1.03750
066     0.23330     1.01841     195    1.04750
067     0.23170     1.01189     196    1.05750
068     0.23000     1.00497     197    1.06750
069     0.23130     1.01027     198    1.07750
070     0.23060     1.00741     199    1.08750
071     0.22200     0.97238     200    1.09750
072     0.21160     0.93002     201    1.10750
073     0.20850     0.91739     202    1.11750
074     0.20350     0.89702     203    1.12750
075     0.19770     0.87340     204    1.13750
076     0.19580     0.86566     205    1.15250
077     0.19100     0.84610     206    1.16750
078     0.19640     0.86810     207    1.18250
079     0.20580     0.90639     208    1.19750
080     0.21800     0.95609     209    1.21250
081     0.22770     0.99560     210    1.22750
082     0.23120     1.00986     211    1.24250
083     0.23200     1.01312     212    1.25750
084     0.23270     1.01597     213    1.27250
085     0.23280     1.01638     214    1.28750
086     0.23240     1.01475     215    1.30250
087     0.23270     1.01597     216    1.31750
088     0.23110     1.00945     217    1.33250
089     0.23290     1.01678     218    1.34750
090     0.22980     1.00415     219    1.36250
091     0.22820     0.99764     220    1.37750
092     0.23080     1.00823     221    1.39250
093     0.23320     1.01800     222    1.40750
094     0.23120     1.00986     223    1.42250
095     0.23640     1.03104     224    1.43750
096     0.23070     1.00782     225    1.46250
097     0.23450     1.02330     226    1.48750
098     0.23600     1.02941     227    1.51250
099     0.22900     1.00090     228    1.53750
100     0.22970     1.00375     229    1.56250
101     0.22950     1.00293     230    1.58750
102     0.23320     1.01800     231    1.61250
103     0.22290     0.97605     232    1.63750
104     0.23210     1.01352     233    1.66250
105     0.23550     1.02737     234    1.68750
106     0.22830     0.99804     235    1.71250
107     0.23220     1.01393     236    1.73750
108     0.22790     0.99642     237    1.76250
109     0.23130     1.01027     238    1.78750
110     0.23440     1.02289     239    1.81250

尾耙静压
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.02470     -0.03255      241    0.62500
001     -0.02820     -0.04680      242    0.93750
002     -0.02660     -0.04029      243    1.25000
003     -0.00920     0.03059      244    1.56250
