翼型实验数据

实验日期：2015年05月25日10:01:39
大气压(kPa)：100.1600  温度(℃)：24.90  密度： 1.17091kg/m^3
来流风速: 20.56m/s  攻角：-2.00  雷诺数：1.01E+006 马赫数：0.06  弦长：0.800000
来流总压：100.3890kPa 来流静压：100.1415kPa 来流动压：247.5Pa
升力系数：0.3050 0.0002 0.0002   阻力系数： 0.0049

力矩系数：-0.1144 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.23390     1.01943    001   0.00000
001     0.22840     0.99721    002   0.00050
002     0.20960     0.92127    003   0.00125
003     0.18660     0.82836    004   0.00250
004     0.14340     0.65385    005   0.00500
005     0.11990     0.55892    006   0.00750
006     0.07400     0.37350    007   0.01000
007     0.01270     0.12587    008   0.01500
008     -0.00210     0.06609    009   0.02500
009     -0.04190     -0.09469    010   0.05000
010     -0.11160     -0.37625    012   0.10000
011     -0.14210     -0.49945    013   0.12500
012     -0.16410     -0.58833    014   0.15000
013     -0.18660     -0.67922    015   0.17500
014     -0.18610     -0.67720    016   0.20000
015     -0.21860     -0.80848    017   0.22500
016     -0.24190     -0.90261    019   0.27500
017     -0.25370     -0.95027    021   0.32500
018     -0.25670     -0.96239    022   0.35000
019     -0.25280     -0.94664    023   0.37500
020     -0.25880     -0.97087    024   0.40000
021     -0.24790     -0.92684    025   0.42500
022     -0.23810     -0.88726    026   0.45000
023     -0.22930     -0.85171    027   0.47500
024     -0.21690     -0.80162    028   0.50000
025     -0.20750     -0.76364    029   0.52500
026     -0.20510     -0.75395    030   0.55000
027     -0.20260     -0.74385    031   0.57500
028     -0.14800     -0.52329    032   0.60000
029     -0.13680     -0.47804    033   0.62500
030     -0.13340     -0.46431    034   0.65000
031     -0.12360     -0.42472    035   0.67500
032     -0.11210     -0.37827    036   0.70000
033     -0.09140     -0.29465    038   0.75000
034     -0.07110     -0.21264    040   0.80000
035     -0.06150     -0.17386    041   0.82500
036     -0.05790     -0.15932    042   0.85000
037     -0.04400     -0.10317    043   0.87500
038     -0.03960     -0.08540    044   0.90000
039     -0.02940     -0.04419    045   0.92500
040     -0.02090     -0.00986    046   0.95000
041     0.00950     0.11295    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.22380     0.97863    096    0.00000
001     0.18070     0.80452    095    0.00050
002     0.13950     0.63809    094    0.00125
003     0.09560     0.46076    093    0.00250
004     0.06080     0.32018    092    0.00500
005     0.00940     0.11254    091    0.00750
006     -0.02670     -0.03329    090    0.01000
007     -0.07030     -0.20941    089    0.01500
008     -0.09640     -0.31485    088    0.02500
009     -0.11550     -0.39200    087    0.05000
010     -0.13670     -0.47764    086    0.07500
011     -0.15870     -0.56651    084    0.12500
012     -0.16630     -0.59721    083    0.15000
013     -0.16920     -0.60893    082    0.17500
014     -0.17260     -0.62266    081    0.20000
015     -0.18140     -0.65821    080    0.22500
016     -0.17800     -0.64448    079    0.25000
017     -0.17890     -0.64811    078    0.27500
018     -0.16990     -0.61176    077    0.30000
019     -0.16520     -0.59277    076    0.32500
020     -0.17770     -0.64326    075    0.35000
021     -0.16050     -0.57378    074    0.37500
022     -0.14710     -0.51965    073    0.40000
023     -0.13800     -0.48289    072    0.42500
024     -0.13470     -0.46956    071    0.45000
025     -0.13170     -0.45744    070    0.47500
026     -0.08930     -0.28616    069    0.50000
027     -0.06420     -0.18477    068    0.52500
028     -0.05820     -0.16053    067    0.55000
029     -0.04360     -0.10156    066    0.57500
030     -0.02870     -0.04137    065    0.60000
031     -0.01600     0.00994    064    0.62500
032     -0.00930     0.03700    063    0.65000
033     0.00650     0.10083    062    0.67500
034     0.02050     0.15738    061    0.70000
035     0.03400     0.21192    060    0.72500
036     0.04350     0.25029    059    0.75000
037     0.05930     0.31412    056    0.82500
038     0.06660     0.34361    055    0.85000
039     0.06470     0.33593    054    0.87500
040     0.06570     0.33997    053    0.90000
041     0.06300     0.32906    052    0.92500
042     0.05180     0.28382    051    0.95000
043     0.04690     0.26403    050    0.97500
044     0.02350     0.16950    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.23280     1.01499     129    0.06250
001     0.23290     1.01539     130    0.08750
002     0.23030     1.00489     131    0.11250
003     0.23560     1.02630     132    0.13750
004     0.23200     1.01176     133    0.16250
005     0.23060     1.00610     134    0.18750
006     0.23240     1.01337     135    0.21250
007     0.23270     1.01458     136    0.23750
008     0.23330     1.01701     137    0.26250
009     0.23440     1.02145     138    0.28750
010     0.23270     1.01458     139    0.31250
011     0.23510     1.02428     140    0.33750
012     0.23360     1.01822     141    0.36250
013     0.23650     1.02993     142    0.38750
014     0.23490     1.02347     143    0.41250
015     0.23250     1.01377     144    0.43750
016     0.23480     1.02307     145    0.45250
017     0.23330     1.01701     146    0.46750
018     0.23340     1.01741     147    0.48250
019     0.23520     1.02468     148    0.49750
020     0.23210     1.01216     149    0.51250
021     0.23240     1.01337     150    0.52750
022     0.22020     0.96409     151    0.54250
023     0.23780     1.03518     152    0.55750
024     0.23350     1.01781     153    0.57250
025     0.23470     1.02266     154    0.58750
026     0.23380     1.01903     155    0.60250
027     0.23510     1.02428     156    0.61750
028     0.23610     1.02832     157    0.63250
029     0.23210     1.01216     158    0.64750
030     0.23410     1.02024     159    0.66250
031     0.23200     1.01176     160    0.67750
032     0.23340     1.01741     161    0.69250
033     0.22830     0.99681     162    0.70750
034     0.23250     1.01377     163    0.72250
035     0.23210     1.01216     164    0.73750
036     0.21940     0.96086     165    0.74750
037     0.23140     1.00933     166    0.75750
038     0.23110     1.00812     167    0.76750
039     0.22860     0.99802     168    0.77750
040     0.23180     1.01095     169    0.78750
041     0.23090     1.00731     170    0.79750
042     0.23670     1.03074     171    0.80750
043     0.23580     1.02711     172    0.81750
044     0.22930     1.00085     173    0.82750
045     0.23120     1.00852     174    0.83750
046     0.23490     1.02347     175    0.84750
047     0.23140     1.00933     176    0.85750
048     0.23200     1.01176     177    0.86750
049     0.23270     1.01458     178    0.87750
050     0.23420     1.02064     179    0.88750
051     0.23230     1.01297     180    0.89750
052     0.23270     1.01458     181    0.90750
053     0.23240     1.01337     182    0.91750
054     0.22940     1.00125     183    0.92750
055     0.23120     1.00852     184    0.93750
056     0.23170     1.01054     185    0.94750
057     0.24210     1.05256     186    0.95750
058     0.23640     1.02953     187    0.96750
059     0.23240     1.01337     188    0.97750
060     0.23330     1.01701     189    0.98750
061     0.22630     0.98873     190    0.99750
062     0.22080     0.96651     191    1.00750
063     0.20540     0.90430     192    1.01750
064     0.18930     0.83926     193    1.02750
065     0.18200     0.80978     194    1.03750
066     0.19360     0.85663     195    1.04750
067     0.20380     0.89784     196    1.05750
068     0.22010     0.96368     197    1.06750
069     0.22970     1.00246     198    1.07750
070     0.23580     1.02711     199    1.08750
071     0.23250     1.01377     200    1.09750
072     0.22790     0.99519     201    1.10750
073     0.22930     1.00085     202    1.11750
074     0.23140     1.00933     203    1.12750
075     0.23140     1.00933     204    1.13750
076     0.23360     1.01822     205    1.15250
077     0.23220     1.01256     206    1.16750
078     0.23220     1.01256     207    1.18250
079     0.22970     1.00246     208    1.19750
080     0.22960     1.00206     209    1.21250
081     0.23400     1.01983     210    1.22750
082     0.23320     1.01660     211    1.24250
083     0.23290     1.01539     212    1.25750
084     0.23390     1.01943     213    1.27250
085     0.23130     1.00893     214    1.28750
086     0.23320     1.01660     215    1.30250
087     0.23330     1.01701     216    1.31750
088     0.23380     1.01903     217    1.33250
089     0.23570     1.02670     218    1.34750
090     0.23440     1.02145     219    1.36250
091     0.22920     1.00044     220    1.37750
092     0.23250     1.01377     221    1.39250
093     0.23350     1.01781     222    1.40750
094     0.23760     1.03438     223    1.42250
095     0.23250     1.01377     224    1.43750
096     0.23120     1.00852     225    1.46250
097     0.23470     1.02266     226    1.48750
098     0.23520     1.02468     227    1.51250
099     0.23070     1.00650     228    1.53750
100     0.23060     1.00610     229    1.56250
101     0.23070     1.00650     230    1.58750
102     0.23550     1.02589     231    1.61250
103     0.22330     0.97661     232    1.63750
104     0.23290     1.01539     233    1.66250
105     0.23620     1.02872     234    1.68750
106     0.22910     1.00004     235    1.71250
107     0.23160     1.01014     236    1.73750
108     0.22850     0.99762     237    1.76250
109     0.23260     1.01418     238    1.78750
110     0.23390     1.01943     239    1.81250

尾耙静压
序号  压力(kPa)   压力系数  测压通道  坐标
