翼型实验数据

实验日期：2015年05月25日10:11:10
大气压(kPa)：100.1500  温度(℃)：25.20  密度： 1.16962kg/m^3
来流风速: 20.57m/s  攻角：0.00  雷诺数：1.01E+006 马赫数：0.06  弦长：0.800000
来流总压：100.3785kPa 来流静压：100.1312kPa 来流动压：247.3Pa
升力系数：0.5647 0.0000 0.0000   阻力系数： 0.0072

力矩系数：-0.1032 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.21790     0.95702    001   0.00000
001     0.17410     0.77994    002   0.00050
002     0.13750     0.63196    003   0.00125
003     0.09680     0.46741    004   0.00250
004     0.03440     0.21513    005   0.00500
005     0.00610     0.10071    006   0.00750
006     -0.04520     -0.10670    007   0.01000
007     -0.10420     -0.34523    008   0.01500
008     -0.11380     -0.38405    009   0.02500
009     -0.14540     -0.51181    010   0.05000
010     -0.19650     -0.71840    012   0.10000
011     -0.21750     -0.80331    013   0.12500
012     -0.23490     -0.87366    014   0.15000
013     -0.25220     -0.94360    015   0.17500
014     -0.24330     -0.90762    016   0.20000
015     -0.27640     -1.04144    017   0.22500
016     -0.29410     -1.11300    019   0.27500
017     -0.29930     -1.13403    021   0.32500
018     -0.29870     -1.13160    022   0.35000
019     -0.29320     -1.10936    023   0.37500
020     -0.29610     -1.12109    024   0.40000
021     -0.28290     -1.06772    025   0.42500
022     -0.27040     -1.01718    026   0.45000
023     -0.25990     -0.97473    027   0.47500
024     -0.24840     -0.92824    028   0.50000
025     -0.24120     -0.89913    029   0.52500
026     -0.23980     -0.89347    030   0.55000
027     -0.17430     -0.62865    031   0.57500
028     -0.16730     -0.60035    032   0.60000
029     -0.15660     -0.55709    033   0.62500
030     -0.14980     -0.52959    034   0.65000
031     -0.13740     -0.47946    035   0.67500
032     -0.12490     -0.42892    036   0.70000
033     -0.10120     -0.33310    038   0.75000
034     -0.07970     -0.24618    040   0.80000
035     -0.06740     -0.19645    041   0.82500
036     -0.06380     -0.18190    042   0.85000
037     -0.04930     -0.12327    043   0.87500
038     -0.04270     -0.09659    044   0.90000
039     -0.03100     -0.04928    045   0.92500
040     -0.02230     -0.01411    046   0.95000
041     0.00700     0.10435    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.23540     1.02778    096    0.00000
001     0.23150     1.01201    095    0.00050
002     0.21220     0.93398    094    0.00125
003     0.18480     0.82320    093    0.00250
004     0.16150     0.72900    092    0.00500
005     0.12040     0.56283    091    0.00750
006     0.08550     0.42173    090    0.01000
007     0.03620     0.22241    089    0.01500
008     0.00290     0.08777    088    0.02500
009     -0.02650     -0.03109    087    0.05000
010     -0.05820     -0.15925    086    0.07500
011     -0.09530     -0.30925    084    0.12500
012     -0.10800     -0.36060    083    0.15000
013     -0.11300     -0.38081    082    0.17500
014     -0.12100     -0.41316    081    0.20000
015     -0.13340     -0.46329    080    0.22500
016     -0.13340     -0.46329    079    0.25000
017     -0.13810     -0.48229    078    0.27500
018     -0.13110     -0.45399    077    0.30000
019     -0.12920     -0.44631    076    0.32500
020     -0.14410     -0.50655    075    0.35000
021     -0.12920     -0.44631    074    0.37500
022     -0.11670     -0.39577    073    0.40000
023     -0.10790     -0.36019    072    0.42500
024     -0.10360     -0.34281    071    0.45000
025     -0.09970     -0.32704    070    0.47500
026     -0.09440     -0.30561    069    0.50000
027     -0.06540     -0.18836    068    0.52500
028     -0.03360     -0.05980    067    0.55000
029     -0.02600     -0.02907    066    0.57500
030     -0.01440     0.01783    065    0.60000
031     -0.00400     0.05988    064    0.62500
032     0.00150     0.08211    063    0.65000
033     0.01600     0.14074    062    0.67500
034     0.02900     0.19330    061    0.70000
035     0.04070     0.24060    060    0.72500
036     0.05080     0.28143    059    0.75000
037     0.06500     0.33885    056    0.82500
038     0.07170     0.36593    055    0.85000
039     0.06980     0.35825    054    0.87500
040     0.06980     0.35825    053    0.90000
041     0.06620     0.34370    052    0.92500
042     0.05390     0.29397    051    0.95000
043     0.04830     0.27133    050    0.97500
044     0.02240     0.16661    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.23290     1.01767     129    0.06250
001     0.23100     1.00999     130    0.08750
002     0.23080     1.00918     131    0.11250
003     0.23570     1.02899     132    0.13750
004     0.23190     1.01362     133    0.16250
005     0.22850     0.99988     134    0.18750
006     0.23390     1.02171     135    0.21250
007     0.23240     1.01565     136    0.23750
008     0.23210     1.01443     137    0.26250
009     0.23420     1.02292     138    0.28750
010     0.23070     1.00877     139    0.31250
011     0.23270     1.01686     140    0.33750
012     0.23330     1.01929     141    0.36250
013     0.23470     1.02495     142    0.38750
014     0.23460     1.02454     143    0.41250
015     0.23210     1.01443     144    0.43750
016     0.23380     1.02131     145    0.45250
017     0.23270     1.01686     146    0.46750
018     0.23070     1.00877     147    0.48250
019     0.23500     1.02616     148    0.49750
020     0.23110     1.01039     149    0.51250
021     0.23220     1.01484     150    0.52750
022     0.21930     0.96268     151    0.54250
023     0.23530     1.02737     152    0.55750
024     0.23300     1.01807     153    0.57250
025     0.23420     1.02292     154    0.58750
026     0.23280     1.01726     155    0.60250
027     0.23410     1.02252     156    0.61750
028     0.23450     1.02414     157    0.63250
029     0.23120     1.01079     158    0.64750
030     0.23450     1.02414     159    0.66250
031     0.23130     1.01120     160    0.67750
032     0.23300     1.01807     161    0.69250
033     0.22730     0.99503     162    0.70750
034     0.23150     1.01201     163    0.72250
035     0.23130     1.01120     164    0.73750
036     0.21800     0.95743     165    0.74750
037     0.22920     1.00271     166    0.75750
038     0.23110     1.01039     167    0.76750
039     0.22750     0.99584     168    0.77750
040     0.23130     1.01120     169    0.78750
041     0.23020     1.00675     170    0.79750
042     0.23560     1.02858     171    0.80750
043     0.23460     1.02454     172    0.81750
044     0.22800     0.99786     173    0.82750
045     0.22520     0.98654     174    0.83750
046     0.23420     1.02292     175    0.84750
047     0.23080     1.00918     176    0.85750
048     0.23090     1.00958     177    0.86750
049     0.23190     1.01362     178    0.87750
050     0.23330     1.01929     179    0.88750
051     0.23220     1.01484     180    0.89750
052     0.23190     1.01362     181    0.90750
053     0.23250     1.01605     182    0.91750
054     0.22830     0.99907     183    0.92750
055     0.23030     1.00716     184    0.93750
056     0.23060     1.00837     185    0.94750
057     0.23600     1.03020     186    0.95750
058     0.22230     0.97481     187    0.96750
059     0.20690     0.91255     188    0.97750
060     0.19170     0.85110     189    0.98750
061     0.18100     0.80784     190    0.99750
062     0.18840     0.83775     191    1.00750
063     0.20110     0.88910     192    1.01750
064     0.21350     0.93923     193    1.02750
065     0.22260     0.97602     194    1.03750
066     0.23200     1.01403     195    1.04750
067     0.23000     1.00594     196    1.05750
068     0.23170     1.01282     197    1.06750
069     0.23240     1.01565     198    1.07750
070     0.23240     1.01565     199    1.08750
071     0.23130     1.01120     200    1.09750
072     0.22730     0.99503     201    1.10750
073     0.22840     0.99947     202    1.11750
074     0.22990     1.00554     203    1.12750
075     0.22980     1.00513     204    1.13750
076     0.23500     1.02616     205    1.15250
077     0.23180     1.01322     206    1.16750
078     0.23230     1.01524     207    1.18250
079     0.22890     1.00150     208    1.19750
080     0.22850     0.99988     209    1.21250
081     0.23590     1.02980     210    1.22750
082     0.23260     1.01646     211    1.24250
083     0.23070     1.00877     212    1.25750
084     0.23340     1.01969     213    1.27250
085     0.22980     1.00513     214    1.28750
086     0.23510     1.02656     215    1.30250
087     0.23430     1.02333     216    1.31750
088     0.23140     1.01160     217    1.33250
089     0.23320     1.01888     218    1.34750
090     0.23300     1.01807     219    1.36250
091     0.22780     0.99705     220    1.37750
092     0.23080     1.00918     221    1.39250
093     0.23300     1.01807     222    1.40750
094     0.23180     1.01322     223    1.42250
095     0.23350     1.02009     224    1.43750
096     0.23010     1.00635     225    1.46250
097     0.23400     1.02212     226    1.48750
098     0.23460     1.02454     227    1.51250
099     0.22980     1.00513     228    1.53750
100     0.22930     1.00311     229    1.56250
101     0.23010     1.00635     230    1.58750
102     0.23440     1.02373     231    1.61250
103     0.22260     0.97602     232    1.63750
104     0.23130     1.01120     233    1.66250
105     0.23640     1.03182     234    1.68750
106     0.22830     0.99907     235    1.71250
107     0.23160     1.01241     236    1.73750
108     0.22730     0.99503     237    1.76250
109     0.23040     1.00756     238    1.78750
110     0.23470     1.02495     239    1.81250

尾耙静压
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.01930     -0.00198      241    0.62500
001     -0.02390     -0.02058      242    0.93750
002     -0.02980     -0.04443      243    1.25000
003     -0.01460     0.01702      244    1.56250
