翼型实验数据

实验日期：2015年05月25日10:16:47
大气压(kPa)：100.1400  温度(℃)：25.40  密度： 1.16872kg/m^3
来流风速: 20.47m/s  攻角：8.00  雷诺数：1.00E+006 马赫数：0.06  弦长：0.800000
来流总压：100.3642kPa 来流静压：100.1193kPa 来流动压：244.9Pa
升力系数：1.4344 -0.0017 -0.0017   阻力系数： 0.0122

力矩系数：-0.0414 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.31260     -1.19196    001   0.00000
001     -0.47080     -1.83797    002   0.00050
002     -0.52650     -2.06542    003   0.00125
003     -0.59260     -2.33533    004   0.00250
004     -0.67810     -2.68447    005   0.00500
005     -0.69670     -2.76042    006   0.00750
006     -0.71200     -2.82290    007   0.01000
007     -0.73620     -2.92172    008   0.01500
008     -0.66510     -2.63139    009   0.02500
009     -0.62640     -2.47336    010   0.05000
010     -0.54920     -2.15811    012   0.10000
011     -0.52460     -2.05766    013   0.12500
012     -0.50790     -1.98946    014   0.15000
013     -0.50180     -1.96456    015   0.17500
014     -0.46050     -1.79591    016   0.20000
015     -0.48840     -1.90984    017   0.22500
016     -0.47160     -1.84123    019   0.27500
017     -0.44520     -1.73343    021   0.32500
018     -0.43570     -1.69464    022   0.35000
019     -0.41320     -1.60276    023   0.37500
020     -0.40790     -1.58112    024   0.40000
021     -0.38170     -1.47413    025   0.42500
022     -0.35820     -1.37817    026   0.45000
023     -0.33910     -1.30018    027   0.47500
024     -0.31490     -1.20136    028   0.50000
025     -0.28580     -1.08253    029   0.52500
026     -0.26100     -0.98126    030   0.55000
027     -0.24130     -0.90081    031   0.57500
028     -0.21970     -0.81261    032   0.60000
029     -0.20000     -0.73217    033   0.62500
030     -0.18210     -0.65907    034   0.65000
031     -0.16390     -0.58475    035   0.67500
032     -0.14620     -0.51248    036   0.70000
033     -0.11260     -0.37527    038   0.75000
034     -0.08400     -0.25848    040   0.80000
035     -0.06950     -0.19927    041   0.82500
036     -0.06300     -0.17273    042   0.85000
037     -0.04800     -0.11148    043   0.87500
038     -0.03950     -0.07677    044   0.90000
039     -0.02990     -0.03757    045   0.92500
040     -0.02370     -0.01225    046   0.95000
041     -0.01190     0.03593    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.18860     -0.68561    096    0.00000
001     -0.02260     -0.00776    095    0.00050
002     0.07420     0.38752    094    0.00125
003     0.13820     0.64886    093    0.00250
004     0.17890     0.81506    092    0.00500
005     0.21150     0.94818    091    0.00750
006     0.22230     0.99228    090    0.01000
007     0.22810     1.01597    089    0.01500
008     0.21010     0.94246    088    0.02500
009     0.18530     0.84119    087    0.05000
010     0.14710     0.68521    086    0.07500
011     0.08640     0.43734    084    0.12500
012     0.06450     0.34791    083    0.15000
013     0.04860     0.28298    082    0.17500
014     0.03410     0.22377    081    0.20000
015     0.01550     0.14782    080    0.22500
016     0.00810     0.11760    079    0.25000
017     -0.00550     0.06207    078    0.27500
018     -0.00870     0.04900    077    0.30000
019     -0.01390     0.02777    076    0.32500
020     -0.03710     -0.06697    075    0.35000
021     -0.02900     -0.03389    074    0.37500
022     -0.02330     -0.01062    073    0.40000
023     -0.02240     -0.00694    072    0.42500
024     -0.02170     -0.00408    071    0.45000
025     -0.01780     0.01184    070    0.47500
026     -0.00890     0.04818    069    0.50000
027     0.00080     0.08779    068    0.52500
028     -0.00140     0.07881    067    0.55000
029     0.00490     0.10454    066    0.57500
030     0.00820     0.11801    065    0.60000
031     0.03810     0.24011    064    0.62500
032     0.03880     0.24297    063    0.65000
033     0.04600     0.27237    062    0.67500
034     0.05540     0.31075    061    0.70000
035     0.06380     0.34505    060    0.72500
036     0.07050     0.37241    059    0.75000
037     0.07800     0.40304    056    0.82500
038     0.08210     0.41978    055    0.85000
039     0.07770     0.40181    054    0.87500
040     0.07650     0.39691    053    0.90000
041     0.06970     0.36915    052    0.92500
042     0.05180     0.29605    051    0.95000
043     0.03880     0.24297    050    0.97500
044     -0.01530     0.02205    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.23330     1.03720     129    0.06250
001     0.22920     1.02046     130    0.08750
002     0.22780     1.01474     131    0.11250
003     0.23210     1.03230     132    0.13750
004     0.22850     1.01760     133    0.16250
005     0.22480     1.00249     134    0.18750
006     0.23070     1.02658     135    0.21250
007     0.22980     1.02291     136    0.23750
008     0.22980     1.02291     137    0.26250
009     0.23120     1.02863     138    0.28750
010     0.22830     1.01678     139    0.31250
