翼型实验数据

实验日期：2015年05月25日10:22:29
大气压(kPa)：100.1400  温度(℃)：25.50  密度： 1.16832kg/m^3
来流风速: 20.39m/s  攻角：16.00  雷诺数：1.00E+006 马赫数：0.06  弦长：0.800000
来流总压：100.3694kPa 来流静压：100.1266kPa 来流动压：242.8Pa
升力系数：1.3567 -0.0515 -0.0515   阻力系数： 0.1795

力矩系数：0.0002 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.78110     -3.16199    001   0.00000
001     -0.96450     -3.91738    002   0.00050
002     -1.00270     -4.07471    003   0.00125
003     -1.05130     -4.27489    004   0.00250
004     -1.10480     -4.49524    005   0.00500
005     -1.09910     -4.47177    006   0.00750
006     -1.05890     -4.30619    007   0.01000
007     -1.05070     -4.27242    008   0.01500
008     -0.91870     -3.72874    009   0.02500
009     -0.88770     -3.60105    010   0.05000
010     -0.61330     -2.47086    012   0.10000
011     -0.55860     -2.24556    013   0.12500
012     -0.51210     -2.05404    014   0.15000
013     -0.47940     -1.91935    015   0.17500
014     -0.41340     -1.64751    016   0.20000
015     -0.41420     -1.65081    017   0.22500
016     -0.34720     -1.37485    019   0.27500
017     -0.26480     -1.03546    021   0.32500
018     -0.22040     -0.85259    022   0.35000
019     -0.17700     -0.67383    023   0.37500
020     -0.15170     -0.56963    024   0.40000
021     -0.13350     -0.49467    025   0.42500
022     -0.12790     -0.47160    026   0.45000
023     -0.12690     -0.46748    027   0.47500
024     -0.12490     -0.45924    028   0.50000
025     -0.12420     -0.45636    029   0.52500
026     -0.12700     -0.46789    030   0.55000
027     -0.12670     -0.46666    031   0.57500
028     -0.13040     -0.48190    032   0.60000
029     -0.13350     -0.49467    033   0.62500
030     -0.13310     -0.49302    034   0.65000
031     -0.13540     -0.50249    035   0.67500
032     -0.13590     -0.50455    036   0.70000
033     -0.13870     -0.51608    038   0.75000
034     -0.13760     -0.51155    040   0.80000
035     -0.13780     -0.51238    041   0.82500
036     -0.14420     -0.53874    042   0.85000
037     -0.14040     -0.52309    043   0.87500
038     -0.14180     -0.52885    044   0.90000
039     -0.14070     -0.52432    045   0.92500
040     -0.14070     -0.52432    046   0.95000
041     -0.13470     -0.49961    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.62010     -2.49887    096    0.00000
001     -0.36570     -1.45105    095    0.00050
002     -0.19350     -0.74179    094    0.00125
