攻角：-1.00
升力系数：0.4358 阻力系数： 0.0075
0.0000 
压力系数 坐标
1.01329 0.00000
0.91859 0.00050
0.80480 0.00125
0.67149 0.00250
0.45405 0.00500
0.34310 0.00750
0.15127 0.01000
-0.09787 0.01500
-0.14786 0.02500
-0.29783 0.05000
-0.54574 0.10000
-0.65304 0.12500
-0.72782 0.15000
-0.81195 0.17500
-0.79407 0.20000
-0.92371 0.22500
-1.01231 0.27500
-1.04686 0.32500
-1.05011 0.35000
-1.02979 0.37500
-1.04767 0.40000
-1.00093 0.42500
-0.95420 0.45000
-0.91762 0.47500
-0.86925 0.50000
-0.83268 0.52500
-0.82292 0.55000
-0.70100 0.57500
-0.55550 0.60000
-0.52339 0.62500
-0.50063 0.65000
-0.45592 0.67500
-0.40756 0.70000
-0.31652 0.75000
-0.22467 0.80000
-0.18769 0.82500
-0.17387 0.85000
-0.11616 0.87500
-0.09380 0.90000
-0.04910 0.92500
-0.01252 0.95000
0.10697 0.99000
压力系数 坐标
1.02833 0.00000
0.93566 0.00050
0.80967 0.00125
0.66133 0.00250
0.54103 0.00500
0.35489 0.00750
0.20573 0.01000
0.01431 0.01500
-0.10762 0.02500
-0.20841 0.05000
-0.31530 0.07500
-0.43845 0.12500
-0.47584 0.15000
-0.49616 0.17500
-0.51607 0.20000
-0.56281 0.22500
-0.55143 0.25000
-0.56322 0.27500
-0.53314 0.30000
-0.51729 0.32500
-0.57379 0.35000
-0.50957 0.37500
-0.45349 0.40000
-0.42056 0.42500
-0.40471 0.45000
-0.39293 0.47500
-0.37911 0.50000
-0.12997 0.52500
-0.11331 0.55000
-0.06413 0.57500
-0.01049 0.60000
0.03585 0.62500
0.05942 0.65000
0.11957 0.67500
0.17566 0.70000
0.22686 0.72500
0.26060 0.75000
0.32806 0.82500
0.35164 0.85000
0.34595 0.87500
0.34879 0.90000
0.33782 0.92500
0.28498 0.95000
0.26588 0.97500
0.16387 0.99000
压力系数 坐标
1.00923 0.06250
1.01329 0.08750
1.00516 0.11250
1.02548 0.13750
1.00394 0.16250
1.00516 0.18750
1.01898 0.21250
1.01492 0.23750
1.01248 0.26250
1.02386 0.28750
1.00882 0.31250
1.02386 0.33750
1.01613 0.36250
1.02345 0.38750
1.02508 0.41250
1.00841 0.43750
1.01898 0.45250
1.01248 0.46750
1.01166 0.48250
1.02426 0.49750
1.01004 0.51250
1.00516 0.52750
0.96086 0.54250
1.03320 0.55750
1.01410 0.57250
1.02467 0.58750
1.01613 0.60250
1.02223 0.61750
1.02304 0.63250
1.00638 0.64750
1.01451 0.66250
1.01939 0.67750
1.01695 0.69250
0.99134 0.70750
1.00882 0.72250
1.00923 0.73750
0.96046 0.74750
1.00435 0.75750
1.00841 0.76750
0.99500 0.77750
1.00760 0.78750
0.99744 0.79750
1.02751 0.80750
1.02304 0.81750
0.99703 0.82750
1.00354 0.83750
1.02101 0.84750
1.01248 0.85750
1.00801 0.86750
1.01248 0.87750
1.02589 0.88750
1.01248 0.89750
1.01248 0.90750
1.01126 0.91750
0.99703 0.92750
1.00354 0.93750
1.01207 0.94750
1.04906 0.95750
1.02751 0.96750
0.99378 0.97750
0.95964 0.98750
0.87755 0.99750
0.84706 1.00750
0.82430 1.01750
0.83487 1.02750
0.88161 1.03750
0.95314 1.04750
0.98525 1.05750
1.00882 1.06750
1.01735 1.07750
1.03320 1.08750
1.01613 1.09750
1.00028 1.10750
0.99907 1.11750
1.00760 1.12750
1.00597 1.13750
1.02223 1.15250
1.01126 1.16750
1.00841 1.18250
0.99785 1.19750
1.00272 1.21250
1.01288 1.22750
1.01410 1.24250
1.01532 1.25750
1.02020 1.27250
1.00597 1.28750
1.01573 1.30250
1.01654 1.31750
1.01126 1.33250
1.01451 1.34750
1.01492 1.36250
0.98890 1.37750
1.00557 1.39250
1.01207 1.40750
1.00638 1.42250
1.01492 1.43750
1.00719 1.46250
1.02264 1.48750
1.02345 1.51250
1.00028 1.53750
1.00191 1.56250
1.00313 1.58750
1.02101 1.61250
0.97509 1.63750
1.01410 1.66250
1.02670 1.68750
0.99663 1.71250
1.01045 1.73750
0.99663 1.76250
1.01532 1.78750
1.02223 1.81250
压力系数 坐标
-0.00642 0.62500
-0.02512 0.93750
-0.04706 1.25000
0.02162 1.56250
