攻角：-6.00
升力系数：-0.1964 阻力系数： 0.0082
0.0000 
压力系数 坐标
0.49669 0.00000
0.79821 0.00050
0.92446 0.00125
1.00168 0.00250
1.02088 0.00500
1.00658 0.00750
0.92650 0.01000
0.70138 0.01500
0.69117 0.02500
0.52774 0.05000
0.17229 0.10000
0.01581 0.12500
-0.10390 0.15000
-0.21462 0.17500
-0.27999 0.20000
-0.39112 0.22500
-0.52594 0.27500
-0.61256 0.32500
-0.64279 0.35000
-0.64729 0.37500
-0.69427 0.40000
-0.66812 0.42500
-0.64647 0.45000
-0.63421 0.47500
-0.58968 0.50000
-0.54841 0.52500
-0.52431 0.55000
-0.49203 0.57500
-0.47569 0.60000
-0.46793 0.62500
-0.35190 0.65000
-0.29797 0.67500
-0.26896 0.70000
-0.21462 0.75000
-0.15088 0.80000
-0.12065 0.82500
-0.11248 0.85000
-0.06754 0.87500
-0.05569 0.90000
-0.02178 0.92500
0.00437 0.95000
0.11060 0.99000
压力系数 坐标
0.25114 0.00000
-0.24322 0.00050
-0.51369 0.00125
-0.76822 0.00250
-0.95371 0.00500
-1.19027 0.00750
-1.28955 0.01000
-1.30793 0.01500
-1.30140 0.02500
-1.24420 0.05000
-1.19721 0.07500
-1.12449 0.12500
-1.10406 0.15000
-1.07056 0.17500
-1.05830 0.20000
-1.06034 0.22500
-1.01826 0.25000
-0.99661 0.27500
-0.94186 0.30000
-0.90386 0.32500
-0.93083 0.35000
-0.86178 0.37500
-0.76659 0.40000
-0.64647 0.42500
-0.59785 0.45000
-0.53697 0.47500
-0.45690 0.50000
-0.35067 0.52500
-0.29756 0.55000
-0.22197 0.57500
-0.14475 0.60000
-0.07734 0.62500
-0.04711 0.65000
0.02725 0.67500
0.08935 0.70000
0.14369 0.72500
0.18700 0.75000
0.25932 0.82500
0.28873 0.85000
0.28710 0.87500
0.29690 0.90000
0.28955 0.92500
0.25482 0.95000
0.24828 0.97500
0.17760 0.99000
压力系数 坐标
1.02088 0.06250
1.01679 0.08750
1.00821 0.11250
1.02537 0.13750
1.01434 0.16250
1.01025 0.18750
1.02088 0.21250
1.02006 0.23750
1.00699 0.26250
1.02210 0.28750
1.00903 0.31250
1.01924 0.33750
1.01679 0.36250
1.02088 0.38750
1.02864 0.41250
1.01516 0.43750
1.02047 0.45250
1.01475 0.46750
1.01802 0.48250
1.02537 0.49750
1.00903 0.51250
1.01434 0.52750
0.96695 0.54250
1.02987 0.55750
1.01843 0.57250
1.02496 0.58750
1.01434 0.60250
1.02987 0.61750
1.02415 0.63250
1.01148 0.64750
1.01883 0.66250
1.01066 0.67750
1.01638 0.69250
0.99677 0.70750
1.01271 0.72250
1.01311 0.73750
0.95878 0.74750
1.01230 0.75750
1.00780 0.76750
0.99473 0.77750
1.00821 0.78750
1.00739 0.79750
1.02864 0.80750
1.02006 0.81750
0.99841 0.82750
1.00862 0.83750
1.02129 0.84750
1.00699 0.85750
1.00903 0.86750
1.01066 0.87750
1.01924 0.88750
1.01107 0.89750
1.02292 0.90750
1.01393 0.91750
1.00127 0.92750
1.00617 0.93750
1.00780 0.94750
1.05029 0.95750
1.02701 0.96750
1.00985 0.97750
1.01148 0.98750
1.00004 0.99750
1.01720 1.00750
1.01516 1.01750
1.00985 1.02750
0.99841 1.03750
1.01679 1.04750
1.00290 1.05750
0.99882 1.06750
0.98084 1.07750
0.94693 1.08750
0.85949 1.09750
0.81128 1.10750
0.82763 1.11750
0.87584 1.12750
0.94448 1.13750
1.01025 1.15250
1.01025 1.16750
1.01434 1.18250
1.00045 1.19750
1.00372 1.21250
1.01311 1.22750
1.01802 1.24250
1.01352 1.25750
1.02047 1.27250
1.01230 1.28750
1.01679 1.30250
1.01679 1.31750
1.01434 1.33250
1.01761 1.34750
1.01597 1.36250
1.00004 1.37750
1.01107 1.39250
1.01311 1.40750
1.01189 1.42250
1.01475 1.43750
1.00699 1.46250
1.02374 1.48750
1.02701 1.51250
1.00086 1.53750
1.00249 1.56250
1.00821 1.58750
1.02537 1.61250
0.97634 1.63750
1.01516 1.66250
1.02741 1.68750
1.00331 1.71250
1.00780 1.73750
0.99310 1.76250
1.02210 1.78750
1.02374 1.81250
压力系数 坐标
-0.02586 0.62500
-0.03934 0.93750
-0.04139 1.25000
0.02562 1.56250
