攻角：14.00
升力系数：1.3652 阻力系数： 0.1013
0.0000 
压力系数 坐标
-2.60265 0.00000
-3.33829 0.00050
-3.52363 0.00125
-3.75173 0.00250
-4.01690 0.00500
-4.02383 0.00750
-3.93055 0.01000
-3.93585 0.01500
-3.42505 0.02500
-3.18758 0.05000
-2.37536 0.10000
-2.20876 0.12500
-2.06049 0.15000
-1.95866 0.17500
-1.72077 0.20000
-1.75784 0.22500
-1.56069 0.27500
-1.31344 0.32500
-1.18676 0.35000
-1.02220 0.37500
-0.90285 0.40000
-0.71141 0.42500
-0.57984 0.45000
-0.49919 0.47500
-0.46619 0.50000
-0.45112 0.52500
-0.45601 0.55000
-0.45316 0.57500
-0.46130 0.60000
-0.47312 0.62500
-0.47149 0.65000
-0.47719 0.67500
-0.48045 0.70000
-0.48330 0.75000
-0.48534 0.80000
-0.47882 0.82500
-0.51018 0.85000
-0.49389 0.87500
-0.50081 0.90000
-0.50041 0.92500
-0.51181 0.95000
-0.50285 0.99000
压力系数 坐标
-1.97047 0.00000
-1.01935 0.00050
-0.39532 0.00125
0.04257 0.00250
0.34033 0.00500
0.63198 0.00750
0.81079 0.01000
1.01365 0.01500
1.01853 0.02500
0.97128 0.05000
0.85479 0.07500
0.61446 0.12500
0.51507 0.15000
0.44094 0.17500
0.37251 0.20000
0.28045 0.22500
0.24257 0.25000
0.16965 0.27500
0.14236 0.30000
0.10326 0.32500
-0.00346 0.35000
0.01568 0.37500
0.02383 0.40000
0.01446 0.42500
-0.00183 0.45000
-0.00143 0.47500
0.02546 0.50000
0.06293 0.52500
0.06415 0.55000
0.09470 0.57500
0.11996 0.60000
0.12037 0.62500
0.11018 0.65000
0.14562 0.67500
0.22668 0.70000
0.27352 0.72500
0.28534 0.75000
0.28452 0.82500
0.29633 0.85000
0.25804 0.87500
0.22994 0.90000
0.17943 0.92500
0.05275 0.95000
-0.06578 0.97500
-0.51141 0.99000
压力系数 坐标
1.01120 0.06250
1.01772 0.08750
1.00998 0.11250
1.02912 0.13750
1.01324 0.16250
1.00224 0.18750
1.02261 0.21250
1.01690 0.23750
1.01405 0.26250
1.02220 0.28750
1.00957 0.31250
1.02261 0.33750
1.02098 0.36250
1.03035 0.38750
1.02790 0.41250
1.01690 0.43750
1.02424 0.45250
1.02057 0.46750
1.01609 0.48250
1.02872 0.49750
1.01731 0.51250
1.01813 0.52750
0.96314 0.54250
1.03116 0.55750
1.02546 0.57250
1.02627 0.58750
1.02138 0.60250
1.03116 0.61750
1.02301 0.63250
1.00916 0.64750
1.00835 0.66250
0.98595 0.67750
0.97576 0.69250
0.94603 0.70750
0.95418 0.72250
0.94033 0.73750
0.88574 0.74750
0.93707 0.75750
0.95010 0.76750
0.93747 0.77750
0.93381 0.78750
0.91466 0.79750
0.93259 0.80750
0.90733 0.81750
0.84705 0.82750
0.85397 0.83750
0.86253 0.84750
0.83890 0.85750
0.83035 0.86750
0.80794 0.87750
0.80061 0.88750
0.75132 0.89750
0.72322 0.90750
0.67475 0.91750
0.62220 0.92750
0.59043 0.93750
0.58187 0.94750
0.60876 0.95750
0.57006 0.96750
0.56640 0.97750
0.57780 0.98750
0.57251 0.99750
0.59776 1.00750
0.62016 1.01750
0.62138 1.02750
0.63931 1.03750
0.66497 1.04750
0.69715 1.05750
0.72566 1.06750
0.72322 1.07750
0.76640 1.08750
0.77739 1.09750
0.78717 1.10750
0.83198 1.11750
0.86415 1.12750
0.88656 1.13750
0.92525 1.15250
0.93462 1.16750
0.94888 1.18250
0.95621 1.19750
0.95906 1.21250
0.97332 1.22750
0.98880 1.24250
0.98880 1.25750
1.00428 1.27250
0.99613 1.28750
1.01487 1.30250
1.02057 1.31750
1.01487 1.33250
1.02057 1.34750
1.02872 1.36250
1.00631 1.37750
1.01609 1.39250
1.02505 1.40750
1.01527 1.42250
1.02424 1.43750
1.01568 1.46250
1.03198 1.48750
1.03890 1.51250
1.01202 1.53750
0.99613 1.56250
1.01079 1.58750
1.03035 1.61250
0.98269 1.63750
1.01609 1.66250
1.03238 1.68750
1.00713 1.71250
1.01772 1.73750
1.00020 1.76250
1.01894 1.78750
1.02668 1.81250
压力系数 坐标
-0.01487 0.62500
-0.15336 0.93750
-0.07678 1.25000
-0.00550 1.56250
