 
 
 
攻角：-10.00
升力系数：-0.6541 阻力系数： 0.0430
 
0.0000 
 
 
压力系数 坐标
-0.82057 0.00000
-0.16291 0.00050
0.21529 0.00125
0.53678 0.00250
0.79993 0.00500
0.89743 0.00750
0.99127 0.01000
0.85256 0.01500
0.97699 0.02500
0.87989 0.05000
0.57105 0.10000
0.40623 0.12500
0.27934 0.15000
0.15940 0.17500
0.04924 0.20000
-0.03766 0.22500
-0.19595 0.27500
-0.31100 0.32500
-0.35547 0.35000
-0.37914 0.37500
-0.43870 0.40000
-0.42687 0.42500
-0.42483 0.45000
-0.42932 0.47500
-0.41014 0.50000
-0.37628 0.52500
-0.35303 0.55000
-0.33181 0.57500
-0.31427 0.60000
-0.30080 0.62500
-0.27632 0.65000
-0.26001 0.67500
-0.24001 0.70000
-0.16168 0.75000
-0.10171 0.80000
-0.08131 0.82500
-0.09110 0.85000
-0.05765 0.87500
-0.06214 0.90000
-0.04500 0.92500
-0.04092 0.95000
0.00641 0.99000
 
 
压力系数 坐标
-1.22896 0.00000
-1.98209 0.00050
-2.27298 0.00125
-2.52715 0.00250
-2.69401 0.00500
-2.88740 0.00750
-2.86169 0.01000
-2.59039 0.01500
-2.42189 0.02500
-2.18934 0.05000
-1.97883 0.07500
-1.60920 0.12500
-1.54596 0.15000
-1.47456 0.17500
-1.35502 0.20000
-1.37338 0.22500
-1.30484 0.25000
-1.24038 0.27500
-1.13472 0.30000
-1.05312 0.32500
-1.06373 0.35000
-0.91849 0.37500
-0.79895 0.40000
-0.69573 0.42500
-0.59251 0.45000
-0.47420 0.47500
-0.35139 0.50000
-0.23553 0.52500
-0.19514 0.55000
-0.14618 0.57500
-0.13312 0.60000
-0.13802 0.62500
-0.16005 0.65000
-0.13924 0.67500
-0.13108 0.70000
-0.11844 0.72500
-0.11109 0.75000
-0.10497 0.82500
-0.08784 0.85000
-0.08947 0.87500
-0.06744 0.90000
-0.05234 0.92500
-0.04214 0.95000
-0.00257 0.97500
0.02762 0.99000
 
 
压力系数 坐标
1.00432 0.06250
1.01248 0.08750
1.00392 0.11250
1.02146 0.13750
1.00269 0.16250
0.99576 0.18750
1.01656 0.21250
1.01656 0.23750
1.01085 0.26250
1.01656 0.28750
1.00310 0.31250
1.01860 0.33750
1.00881 0.36250
1.02105 0.38750
1.01656 0.41250
1.00677 0.43750
1.01371 0.45250
1.01085 0.46750
1.00840 0.48250
1.01901 0.49750
1.00677 0.51250
1.01044 0.52750
0.95822 0.54250
1.02432 0.55750
1.01044 0.57250
1.02309 0.58750
1.00759 0.60250
1.01860 0.61750
1.01697 0.63250
1.00596 0.64750
1.01697 0.66250
1.00677 0.67750
1.01452 0.69250
0.98923 0.70750
1.00840 0.72250
1.00555 0.73750
0.95333 0.74750
1.00310 0.75750
1.00065 0.76750
0.98678 0.77750
1.00310 0.78750
0.99902 0.79750
1.01575 0.80750
1.01779 0.81750
0.99127 0.82750
0.99657 0.83750
1.01534 0.84750
1.00677 0.85750
1.01208 0.86750
0.99984 0.87750
1.01412 0.88750
1.00718 0.89750
1.01208 0.90750
0.99984 0.91750
0.97087 0.92750
0.96434 0.93750
0.94721 0.94750
0.97005 0.95750
0.92844 0.96750
0.90682 0.97750
0.90233 0.98750
0.87214 0.99750
0.87989 1.00750
0.86072 1.01750
0.84072 1.02750
0.81135 1.03750
0.81013 1.04750
0.78728 1.05750
0.78565 1.06750
0.78973 1.07750
0.81013 1.08750
0.78850 1.09750
0.77667 1.10750
0.79217 1.11750
0.81625 1.12750
0.83216 1.13750
0.85786 1.15250
0.85256 1.16750
0.85623 1.18250
0.87744 1.19750
0.90641 1.21250
0.93170 1.22750
0.97250 1.24250
0.97577 1.25750
0.99209 1.27250
0.99005 1.28750
1.00228 1.30250
1.01208 1.31750
1.00392 1.33250
1.00922 1.34750
1.01248 1.36250
0.98923 1.37750
1.00432 1.39250
1.00392 1.40750
1.00718 1.42250
1.01167 1.43750
1.00024 1.46250
1.01371 1.48750
1.01697 1.51250
0.99739 1.53750
0.99494 1.56250
0.99902 1.58750
1.01575 1.61250
0.96842 1.63750
1.00718 1.66250
1.02676 1.68750
0.99005 1.71250
1.00432 1.73750
0.98393 1.76250
1.00759 1.78750
1.01575 1.81250
 
 
压力系数 坐标
-0.04867 0.62500
-0.06254 0.93750
-0.05724 1.25000
0.02966 1.56250
