 
 
 
攻角：-1.00
升力系数：0.4366 阻力系数： 0.0078
 
0.0000 
 
 
压力系数 坐标
1.01725 0.00000
0.92003 0.00050
0.80411 0.00125
0.67151 0.00250
0.45796 0.00500
0.35180 0.00750
0.15005 0.01000
-0.09766 0.01500
-0.14891 0.02500
-0.29494 0.05000
-0.54428 0.10000
-0.65044 0.12500
-0.72935 0.15000
-0.81517 0.17500
-0.79443 0.20000
-0.92540 0.22500
-1.00919 0.27500
-1.04214 0.32500
-1.04987 0.35000
-1.03238 0.37500
-1.04621 0.40000
-1.00146 0.42500
-0.95103 0.45000
-0.91605 0.47500
-0.86358 0.50000
-0.83348 0.52500
-0.82005 0.55000
-0.69803 0.57500
-0.54834 0.60000
-0.52272 0.62500
-0.49791 0.65000
-0.45276 0.67500
-0.40679 0.70000
-0.31568 0.75000
-0.22904 0.80000
-0.18552 0.82500
-0.17291 0.85000
-0.11515 0.87500
-0.09197 0.90000
-0.04722 0.92500
-0.01102 0.95000
0.10694 0.99000
 
 
压力系数 坐标
1.02904 0.00000
0.93590 0.00050
0.81387 0.00125
0.66297 0.00250
0.54785 0.00500
0.35709 0.00750
0.20984 0.01000
0.01826 0.01500
-0.10254 0.02500
-0.20260 0.05000
-0.31243 0.07500
-0.43527 0.12500
-0.47553 0.15000
-0.49262 0.17500
-0.51540 0.20000
-0.55851 0.22500
-0.54997 0.25000
-0.56095 0.27500
-0.53167 0.30000
-0.51987 0.32500
-0.56990 0.35000
-0.50807 0.37500
-0.45520 0.40000
-0.41900 0.42500
-0.40232 0.45000
-0.38930 0.47500
-0.37547 0.50000
-0.13101 0.52500
-0.11108 0.55000
-0.06512 0.57500
-0.01102 0.60000
0.03494 0.62500
0.06382 0.65000
0.12076 0.67500
0.17893 0.70000
0.22530 0.72500
0.26679 0.75000
0.32780 0.82500
0.35587 0.85000
0.34733 0.87500
0.35139 0.90000
0.33919 0.92500
0.28794 0.95000
0.26435 0.97500
0.16917 0.99000
 
 
压力系数 坐标
1.01074 0.06250
1.01643 0.08750
1.01114 0.11250
1.02701 0.13750
1.01643 0.16250
1.01114 0.18750
1.02619 0.21250
1.01969 0.23750
1.01237 0.26250
1.02457 0.28750
1.00952 0.31250
1.01684 0.33750
1.01847 0.36250
1.02579 0.38750
1.02660 0.41250
1.01440 0.43750
1.02172 0.45250
1.01928 0.46750
1.01440 0.48250
1.03514 0.49750
1.01074 0.51250
1.01603 0.52750
0.96152 0.54250
1.03108 0.55750
1.01928 0.57250
1.02701 0.58750
1.02253 0.60250
1.02660 0.61750
1.02253 0.63250
1.01725 0.64750
1.02335 0.66250
1.01399 0.67750
1.02253 0.69250
0.99691 0.70750
1.01725 0.72250
1.01481 0.73750
0.96355 0.74750
1.00911 0.75750
1.00870 0.76750
0.99284 0.77750
1.00545 0.78750
1.00830 0.79750
1.03311 0.80750
1.02497 0.81750
0.99854 0.82750
1.00952 0.83750
1.02457 0.84750
1.01196 0.85750
1.01277 0.86750
1.01359 0.87750
1.02416 0.88750
1.01074 0.89750
1.01603 0.90750
1.01440 0.91750
1.00098 0.92750
1.01074 0.93750
1.01277 0.94750
1.05182 0.95750
1.02294 0.96750
0.99894 0.97750
0.96315 0.98750
0.87692 0.99750
0.84844 1.00750
0.82445 1.01750
0.84316 1.02750
0.89197 1.03750
0.96233 1.04750
0.99813 1.05750
1.00992 1.06750
1.01318 1.07750
1.02864 1.08750
1.01765 1.09750
0.99447 1.10750
1.00382 1.11750
1.01562 1.12750
1.00748 1.13750
1.02864 1.15250
1.01237 1.16750
1.01928 1.18250
1.00057 1.19750
0.99894 1.21250
1.01196 1.22750
1.01643 1.24250
1.02091 1.25750
1.03677 1.27250
1.01074 1.28750
1.01399 1.30250
1.01318 1.31750
1.01725 1.33250
1.01725 1.34750
1.01847 1.36250
0.99650 1.37750
1.01318 1.39250
1.01684 1.40750
1.01318 1.42250
1.01725 1.43750
1.00911 1.46250
1.02416 1.48750
1.02457 1.51250
1.00911 1.53750
1.00464 1.56250
1.00098 1.58750
1.02294 1.61250
0.97942 1.63750
1.01562 1.66250
1.02823 1.68750
1.00138 1.71250
1.01481 1.73750
1.01277 1.76250
1.00748 1.78750
1.01847 1.81250
 
 
压力系数 坐标
-0.00614 0.62500
-0.02933 0.93750
-0.04234 1.25000
0.02070 1.56250
