 
 
 
攻角：18.00
升力系数：1.3980 阻力系数： 0.1822
 
0.0000 
 
 
压力系数 坐标
-3.76268 0.00000
-4.53020 0.00050
-4.66535 0.00125
-4.83014 0.00250
-4.99939 0.00500
-4.93689 0.00750
-4.69701 0.01000
-4.61990 0.01500
-4.11864 0.02500
-3.96846 0.05000
-2.54708 0.10000
-2.27271 0.12500
-2.03689 0.15000
-1.86318 0.17500
-1.56039 0.20000
-1.51940 0.22500
-1.15492 0.27500
-0.74986 0.32500
-0.60334 0.35000
-0.54205 0.37500
-0.54692 0.40000
-0.51851 0.42500
-0.51404 0.45000
-0.51364 0.47500
-0.50796 0.50000
-0.50836 0.52500
-0.51810 0.55000
-0.51770 0.57500
-0.53109 0.60000
-0.54854 0.62500
-0.55098 0.65000
-0.56072 0.67500
-0.56275 0.70000
-0.56884 0.75000
-0.56884 0.80000
-0.56478 0.82500
-0.59157 0.85000
-0.57046 0.87500
-0.57290 0.90000
-0.56924 0.92500
-0.57127 0.95000
-0.54976 0.99000
 
 
压力系数 坐标
-3.06579 0.00000
-1.92041 0.00050
-1.12611 0.00125
-0.55991 0.00250
-0.15322 0.00500
0.27052 0.00750
0.56194 0.01000
0.92926 0.01500
1.01043 0.02500
1.03194 0.05000
0.95036 0.07500
0.73971 0.12500
0.63987 0.15000
0.56762 0.17500
0.49416 0.20000
0.39634 0.22500
0.36103 0.25000
0.27620 0.27500
0.23886 0.30000
0.19381 0.32500
0.08057 0.35000
0.09031 0.37500
0.09315 0.40000
0.07448 0.42500
0.05053 0.45000
0.04160 0.47500
0.06068 0.50000
0.10045 0.52500
0.08950 0.55000
0.11425 0.57500
0.13374 0.60000
0.14551 0.62500
0.13495 0.65000
0.16864 0.67500
0.18812 0.70000
0.21045 0.72500
0.27295 0.75000
0.27255 0.82500
0.28269 0.85000
0.24292 0.87500
0.21288 0.90000
0.15525 0.92500
0.02212 0.95000
-0.10573 0.97500
-0.56924 0.99000
 
 
压力系数 坐标
1.01652 0.06250
1.02504 0.08750
1.01530 0.11250
1.03275 0.13750
1.02220 0.16250
1.00962 0.18750
1.02870 0.21250
1.02829 0.23750
1.02017 0.26250
1.03235 0.28750
1.02098 0.31250
1.02870 0.33750
1.02748 0.36250
1.03722 0.38750
1.02910 0.41250
1.02017 0.43750
1.02342 0.45250
1.02017 0.46750
1.01774 0.48250
1.03762 0.49750
1.01855 0.51250
1.03235 0.52750
0.96944 0.54250
1.03803 0.55750
1.01693 0.57250
1.02504 0.58750
1.01652 0.60250
1.02382 0.61750
1.02829 0.63250
1.00800 0.64750
1.01205 0.66250
0.99744 0.67750
0.99460 0.69250
0.96051 0.70750
0.96294 0.72250
0.93331 0.73750
0.87122 0.74750
0.90774 0.75750
0.90328 0.76750
0.86919 0.77750
0.86634 0.78750
0.83387 0.79750
0.83631 0.80750
0.79532 0.81750
0.70602 0.82750
0.68857 0.83750
0.68411 0.84750
0.65123 0.85750
0.63581 0.86750
0.61105 0.87750
0.59765 0.88750
0.57046 0.89750
0.56275 0.90750
0.54367 0.91750
0.52257 0.92750
0.50511 0.93750
0.51283 0.94750
0.51810 0.95750
0.46980 0.96750
0.42394 0.97750
0.43490 0.98750
0.41907 0.99750
0.41907 1.00750
0.44910 1.01750
0.44099 1.02750
0.44626 1.03750
0.44545 1.04750
0.44667 1.05750
0.43530 1.06750
0.42556 1.07750
0.46453 1.08750
0.47589 1.09750
0.50674 1.10750
0.56518 1.11750
0.60861 1.12750
0.64717 1.13750
0.68370 1.15250
0.69019 1.16750
0.74539 1.18250
0.74580 1.19750
0.73809 1.21250
0.77380 1.22750
0.81277 1.24250
0.85295 1.25750
0.89070 1.27250
0.90409 1.28750
0.93088 1.30250
0.95807 1.31750
0.98283 1.33250
0.99541 1.34750
1.00962 1.36250
0.99704 1.37750
1.02139 1.39250
1.03560 1.40750
1.02301 1.42250
1.02545 1.43750
1.01368 1.46250
1.02707 1.48750
1.03154 1.51250
1.01084 1.53750
1.00840 1.56250
1.01287 1.58750
1.03762 1.61250
0.98324 1.63750
1.02504 1.66250
1.04412 1.68750
1.00353 1.71250
1.01652 1.73750
1.00191 1.76250
1.02342 1.78750
1.03235 1.81250
 
 
压力系数 坐标
-0.00467 0.62500
-0.17067 0.93750
-0.14591 1.25000
-0.02699 1.56250
